Table ES-4:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Chapter/IPCC Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter/IPCC Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4,4.2,4.5,4.9,4.6,4.6,4.1,4.9
,Electronics Industry,3.6,3.6,3.6,4.5,5,6.3,6.9,7.3,9,9.1,7.7,5.4,5.6,5.3,5.1,4.8,5.3,4.9,4.5,3.3,4.1,5.5,5.1,4.7,4.9,5,5,4.9,5.1,4.6
,Electrical Transmission and Distribution,23.2,22.2,22.1,21.4,20.2,18.6,17,15.6,13.3,13.6,12.7,12,10.8,9.9,9.1,8.4,7,6.3,6.1,5.9,5.7,5.8,4.8,4.6,4.9,3.8,4.1,4.2,3.9,4.2
,N2O from Product Uses,4.2,4.1,3.9,4.4,4.4,4.4,4.4,4.7,4.7,4.7,4.7,4.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,HCFC-22 Production,46.1,41.4,46,41.9,39.9,41.7,39.4,38.1,49.9,38.5,36.2,25,26.7,15.6,21.8,20,17.5,21.5,17.2,6.8,8,8.8,5.5,4.1,5,4.3,2.8,5.2,3.3,3.7
,Aluminum Production,28.3,25.1,23.5,22.2,19.6,19.4,20.4,18.6,16.2,16.1,16,8.4,10.6,8.9,7.5,7.6,6.8,8.9,7.8,5,4.7,6.9,6.5,6.4,5.5,4.9,2.7,2.3,3.1,3.6
,Soda Ash Production,1.4,1.4,1.5,1.4,1.4,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.7,1.6,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.8
,Ferroalloy Production,2.2,1.9,2,1.9,2,2.1,2.1,2.2,2.2,2.2,1.9,1.5,1.4,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,1.9,2,1.8,2,2.1,1.6
,Titanium Dioxide Production,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8,2.1,1.8,1.8,1.9,1.8,1.6,1.8,1.7,1.5,1.7,1.7,1.6,1.7,1.7,1.5,1.5
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",1.7,1.6,1.7,1.7,1.9,1.9,1.9,2,2,2,2,1.9,2,2,2.1,2.1,2.1,2.2,2.1,2.1,2.2,2.2,2.1,2.1,2,1.9,1.7,1.5,1.4,1.4
,Glass Production,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.6,1.5,1.4,1.7,1.4,1.7,1.6,1.6,1.9,2.1,1.5,1.5,1,1.5,1.3,1.2,1.3,1.3,1.3,1.2,1.3,1.3,1.3
,Zinc Production,0.6,0.8,0.8,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,0.7,0.7,1.1,1,1,1,1,1.2,0.9,1.2,1.3,1.5,1.4,0.9,0.9,0.8,0.9,1,1
,Magnesium Production and Processing,5.2,4.9,5.2,5.3,5.2,5.4,6.3,6,5.4,4.8,2.9,2.7,2.8,3.3,2.7,2.7,2.8,2.5,1.8,1,1.2,1.7,1.4,1.4,1,1.1,1.2,1.1,1.1,1
,Phosphoric Acid Production,1.5,1.4,1.5,1.3,1.5,1.5,1.6,1.5,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.1,1,1.1,1.2,1.1,1.1,1,1,1,1,0.9,0.9
,Lead Production,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Carbide Production and Consumption,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Agriculture,555.3,546.6,547.4,575.4,562.2,574.6,581.9,570,578.1,571.2,556.9,576.3,578.3,577,584.5,577.1,572.5,592.4,584.8,588.2,596.3,577.5,559.8,600.5,610,616.1,604.4,605.5,621,628.6
,Agricultural Soil Management,315.9,304.6,302.4,325.9,307.2,313.1,322.2,313,316.9,308.8,294.5,316.7,314.3,315.6,328.4,313.4,308.7,319.5,316,320.7,324.5,311.9,292.4,339.9,349.7,348.5,330.1,327.6,338.2,344.6
,Enteric Fermentation,164.7,164.9,169.7,172.1,175.2,179.1,177.9,174.6,172.7,172.8,171,170,170.3,170.5,167.3,169.3,172,174.9,174.3,173.4,171.8,169.3,167.1,165.9,164.6,166.9,172.2,175.8,178,178.6
,Manure Management,51.1,53.1,51.7,53.3,56.7,58.4,57.5,59.5,63.2,63.8,64.4,65.8,66.9,67.3,65,67.9,68.7,73.2,71.1,70,71.9,72.4,74.3,72,71.6,75.4,77.7,78.5,81.1,82
,Rice Cultivation,16,16.1,16.1,17.1,15.7,16.5,16.7,15.4,17.1,17.7,19,15.4,17.7,14.7,15.6,18,14.7,15.9,14.1,16.2,18.9,15.3,15.2,13.8,15.4,16.2,15.8,14.9,15.6,15.1
,Urea Fertilization,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.9,3,3.2,3.4,3.6,3.7,3.7,3.5,3.7,3.8,3.6,3.6,3.8,4.1,4.3,4.4,4.5,4.7,4.9,5.1,5.2,5.3
,Liming,4.7,5,4.4,3.8,4.1,4.4,4.4,4.3,4.7,4.5,4.3,4.4,5,4.6,3.9,4.3,4.2,4.5,5,3.7,4.8,3.9,6,3.9,3.6,3.7,3.1,3.1,2.2,2.4
,Field Burning of Agricultural Residues,0.5,0.5,0.5,0.6,0.5,0.4,0.6,0.6,0.5,0.6,0.5,0.5,0.6,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
,Waste,216.2,219.3,220,218.5,219.3,214.7,211.7,202.7,194,188.5,185.8,181,180.1,183,181,178,176.4,174.4,172.2,169.4,170.5,162.2,164.3,160.8,160.6,159.8,157.1,159,161.1,163.7
,Landfills,176.6,178.9,178.6,176.6,176.3,171.7,168.3,158.9,149.5,142.9,139.7,135.4,134.1,136.5,134.1,131.4,129.3,127.2,125.1,123,124.1,115.4,116.6,113,112.6,111.4,108,109.4,112.1,114.5
,Wastewater Treatment,38.9,39.6,40.4,40.7,41.5,41.3,41.5,41.7,42.2,43,43.2,42.7,43.1,43.2,43.3,43,43.5,43.5,43.2,42.7,42.9,43.1,43.9,43.7,43.8,44.2,44.6,44.9,44.6,44.8
,Composting,0.7,0.8,0.9,1.2,1.5,1.6,1.9,2.1,2.3,2.5,2.8,2.8,2.9,3.3,3.5,3.5,3.6,3.7,3.8,3.6,3.5,3.5,3.7,3.9,4,4,4.3,4.6,4.3,4.3
,Anaerobic Digestion at Biogas Facilities,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Total Emissions a (Sources),"6,442.70","6,373.60","6,486.30","6,604.30","6,691.80","6,775.90","6,981.20","7,036.50","7,083.30","7,125.40","7,313.60","7,203.00","7,244.30","7,301.40","7,415.50","7,423.00","7,344.50","7,449.60","7,224.60","6,772.00","6,991.10","6,827.40","6,585.90","6,764.70","6,825.00","6,671.10","6,520.30","6,483.30","6,671.40","6,558.30"
