Table 5-23:  Applied Minerals (MMT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Limestone,19.0,20.3,18.0,15.6,16.7,17.3,17.5,16.5,14.9,16.9,15.9,16.1,20.4,18.7,15.5,18.1,16.5,17.5,20.5,15.7,20.0,15.9,20.8,16.4,15.3,16.0,13.0,13.4,9.4,10.2
,Dolomite,2.4,2.6,2.2,1.7,2.3,2.8,2.5,3.0,6.4,3.4,3.8,4.0,2.4,2.2,2.3,1.9,2.7,2.9,2.6,1.2,1.9,1.9,6.3,1.5,1.3,1.2,1.1,0.8,0.9,1.0
