Table 5-21:  Emissions from Liming (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Limestone,4.1,4.4,3.9,3.4,3.6,3.7,3.8,3.6,3.2,3.7,3.4,3.5,4.4,4.0,3.4,3.9,3.6,3.8,4.4,3.4,4.3,3.4,4.5,3.6,3.3,3.5,2.8,2.9,2.0,2.2
,Dolomite,0.6,0.6,0.5,0.4,0.5,0.7,0.6,0.7,1.5,0.8,0.9,0.9,0.6,0.5,0.5,0.4,0.6,0.7,0.6,0.3,0.5,0.4,1.5,0.3,0.3,0.3,0.3,0.2,0.2,0.2
,Total,4.7,5.0,4.4,3.8,4.1,4.4,4.4,4.3,4.7,4.5,4.3,4.4,5.0,4.6,3.9,4.3,4.2,4.5,5.0,3.7,4.8,3.9,6.0,3.9,3.6,3.7,3.1,3.1,2.2,2.4
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
