New EF correspondence table,,,,,,,,
,,,,,,,,
,,,,,,,,
Sector,Subsector,Energy carrier,Energy carrier type,End Use Application,Scope,GREET Version,GREET Tab,GREET Pathway
Transportation,Refining Industry,Steam Coal,Fossil Coal,-,,GREET1_2020,,
Industrial,Food Industry,Steam Coal,Fossil Coal,-,,GREET1_2020,,
Industrial,Paper Industry,Steam Coal,Fossil Coal,-,,GREET1_2020,,
Industrial,Glass Industry,Steam Coal,Fossil Coal,-,,GREET1_2020,,
Industrial,Cement and Lime Industry,Steam Coal,Fossil Coal,-,,GREET1_2020,,
Industrial,Iron and Steel Industry,Steam Coal,Fossil Coal,-,,GREET1_2020,,
Industrial,Aluminum Industry,Steam Coal,Fossil Coal,-,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Steam Coal,Fossil Coal,Balance of Manufacturing Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Steam Coal,Fossil Coal,Computers Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Steam Coal,Fossil Coal,Electrical Equipment Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Steam Coal,Fossil Coal,Fabricated Metal Products Consumption,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Steam Coal,Fossil Coal,Heat and Power,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Steam Coal,Fossil Coal,Machinery Consumption,,GREET1_2020,,
Agriculture,Nonmanufacturing Sector,Steam Coal,Fossil Coal,Mining,,GREET1_2020,,
Industrial,-,Steam Coal,Fossil Coal,On farm energy use,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Steam Coal,Fossil Coal,Plastics Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Steam Coal,Fossil Coal,Transportation Equipment Consumption,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Steam Coal,Fossil Coal,Wood Products Consumption,,GREET1_2020,,
Commercial,-,Steam Coal,U.S. Average Grid Mix,Computing,,GREET1_2020,,
Commercial,-,Steam Coal,U.S. Average Grid Mix,Cooking,,GREET1_2020,,
Transportation,Refining Industry,Still Gas,-,-,,GREET1_2020,,
Transportation,Refining Industry,,,Feedstocks,,GREET1_2020,,
Industrial,Bulk Chemical Industry,,,Feedstocks,,GREET1_2020,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
Industrial,,,,,,,,
