New EF correspondence table,,,,,,,,
,,,,,,,,
,,,,,,,,
Sector,Subsector,Energy carrier,Energy carrier type,End Use Application,Scope,GREET Version,GREET Tab,GREET Pathway
Transportation,On Road,E85,"Ethanol, Conventional",Light-Duty Vehicle,,GREET1_2020,,
Transportation,On Road,E85,"Ethanol, Conventional",School Bus,,GREET1_2020,,
Transportation,On Road,E85,"Ethanol, Conventional",Transit Bus,,GREET1_2020,,
Transportation,On Road,E85,Petroleum Gasoline,Commercial Light Trucks,,GREET1_2020,,
Transportation,On Road,E85,Petroleum Gasoline,Freight Trucks,,GREET1_2020,,
Transportation,On Road,E85,Petroleum Gasoline,Intercity Bus,,GREET1_2020,,
Transportation,On Road,E85,Petroleum Gasoline,Light-Duty Vehicle,,GREET1_2020,,
Transportation,On Road,E85,Petroleum Gasoline,School Bus,,GREET1_2020,,
Transportation,On Road,E85,Petroleum Gasoline,Transit Bus,,GREET1_2020,,
Transportation,Refining Industry,Electricity,U.S. Average Grid Mix,-,,GREET1_2020,,
Industrial,Food Industry,Electricity,U.S. Average Grid Mix,-,,GREET1_2020,,
Industrial,Paper Industry,Electricity,U.S. Average Grid Mix,-,,GREET1_2020,,
Industrial,Glass Industry,Electricity,U.S. Average Grid Mix,-,,GREET1_2020,,
Industrial,Cement and Lime Industry,Electricity,U.S. Average Grid Mix,-,,GREET1_2020,,
Industrial,Iron and Steel Industry,Electricity,U.S. Average Grid Mix,-,,GREET1_2020,,
Industrial,Aluminum Industry,Electricity,U.S. Average Grid Mix,-,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Electricity,U.S. Average Grid Mix,Balance of Manufacturing Consumption,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Clothes Dryers,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Clothes Washers,,GREET1_2020,,
Commercial,On Road,Electricity,U.S. Average Grid Mix,Commercial Light Trucks,,GREET1_2020,,
Transportation,Rail,Electricity,U.S. Average Grid Mix,Commuter Rail,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Computers and Related Equipment,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Electricity,U.S. Average Grid Mix,Computers Consumption,,GREET1_2020,,
Agriculture,Nonmanufacturing Sector,Electricity,U.S. Average Grid Mix,Construction,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Cooking,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Dishwashers,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Electricity,U.S. Average Grid Mix,Electrical Equipment Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Electricity,U.S. Average Grid Mix,Fabricated Metal Products Consumption,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Freezers,,GREET1_2020,,
Commercial,On Road,Electricity,U.S. Average Grid Mix,Freight Trucks,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Furnace Fans and Boiler Circulation Pumps,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Electricity,U.S. Average Grid Mix,Heat and Power,,GREET1_2020,,
Transportation,On Road,Electricity,U.S. Average Grid Mix,Intercity Bus,,GREET1_2020,,
Transportation,Rail,Electricity,U.S. Average Grid Mix,Intercity Rail,,GREET1_2020,,
Commercial,On Road,Electricity,U.S. Average Grid Mix,Light-Duty Vehicle,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Lighting,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Electricity,U.S. Average Grid Mix,Machinery Consumption,,GREET1_2020,,
Agriculture,Nonmanufacturing Sector,Electricity,U.S. Average Grid Mix,Mining,,GREET1_2020,,
Commercial,-,Electricity,U.S. Average Grid Mix,Office Equipment,,GREET1_2020,,
Industrial,-,Electricity,U.S. Average Grid Mix,On farm energy use,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Other Uses,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Electricity,U.S. Average Grid Mix,Plastics Consumption,,GREET1_2020,,
Residential,-,Electricity,U.S. Average Grid Mix,Refrigeration,,GREET1_2020,,
Transportation,On Road,Electricity,U.S. Average Grid Mix,School Bus,,GREET1_2020,,
