Correspondence file for residential subsector,,
,,
,,
Res Subsector_Decarb,Assigned Sector,Res Subsector_Front
-,Residential,Sector-wide
Substitution of Ozone Depleting Substances,Residential,Substitution of Ozone Depleting Substances
