,Case,Mitigation Case,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Generation Type,Year,Energy Unit,Electricity Production
46,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2024,BkWh,-0.6077314892766746
47,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2024,BkWh,315.50010540664056
48,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2024,BkWh,2.7845918328450256
49,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2024,BkWh,435.86294865259583
50,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2024,BkWh,36.027278958853685
51,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2025,BkWh,15.155976488917
52,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2025,BkWh,718.7902424230381
53,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2025,BkWh,279.7720525340806
54,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2025,BkWh,0.24367698427936552
55,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2025,BkWh,15.787392221834514
56,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2025,BkWh,0.4980247260331347
57,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2025,BkWh,1336.0346545799914
58,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2025,BkWh,730.6783153145225
59,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2025,BkWh,5.671734575417441
60,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2025,BkWh,1.5197609629861426
61,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2025,BkWh,11.472017965251887
62,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2025,BkWh,9.598750798329926
63,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2025,BkWh,-1.3424679715031589
64,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2025,BkWh,434.1359110921193
65,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2025,BkWh,2.7698022780773863
66,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2025,BkWh,473.1202335812192
67,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2025,BkWh,36.28179810393297
68,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2026,BkWh,15.735588559834982
69,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2026,BkWh,617.7316943941545
70,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2026,BkWh,280.2981064175571
71,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2026,BkWh,0.2978254314566349
72,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2026,BkWh,16.51673914254692
73,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2026,BkWh,0.4978869292181484
74,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2026,BkWh,1284.0164437873048
75,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2026,BkWh,723.4050015026075
76,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2026,BkWh,6.428079958455321
77,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2026,BkWh,1.7892852372809906
78,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2026,BkWh,11.468843810527344
79,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2026,BkWh,8.936442861523542
80,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2026,BkWh,-1.8814948901422668
81,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2026,BkWh,566.3591396495227
82,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2026,BkWh,2.7576780226490283
83,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2026,BkWh,537.4760463581644
84,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2026,BkWh,36.26948839584779
85,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2027,BkWh,16.564037841407483
86,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2027,BkWh,525.9603800928088
87,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2027,BkWh,280.1904403438127
88,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2027,BkWh,0.3755240663165806
89,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2027,BkWh,17.08826616699022
90,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2027,BkWh,0.4977252362287257
91,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2027,BkWh,1204.9094556110465
92,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2027,BkWh,723.1577623064802
93,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2027,BkWh,6.423756644981291
94,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2027,BkWh,1.7887041517734836
95,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2027,BkWh,11.46511920654174
96,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2027,BkWh,8.286014314400166
97,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2027,BkWh,-2.282494672013793
98,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2027,BkWh,688.3093531797701
99,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2027,BkWh,2.7480607229991114
100,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2027,BkWh,619.5216540893592
101,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2027,BkWh,36.32125686971084
102,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2028,BkWh,17.19229156043673
103,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2028,BkWh,436.51981515626966
104,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2028,BkWh,278.0080281328187
105,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2028,BkWh,0.5235523907970767
106,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2028,BkWh,17.651355926824635
107,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2028,BkWh,0.49754330030939264
108,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2028,BkWh,1164.8710477207871
109,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2028,BkWh,714.3849845896104
110,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2028,BkWh,9.643486185210485
111,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2028,BkWh,1.788050318070508
112,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2028,BkWh,11.460928305917712
113,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2028,BkWh,7.639656158510543
114,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2028,BkWh,-3.56213400090389
115,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2028,BkWh,765.1972814074996
116,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2028,BkWh,2.737251478194876
117,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2028,BkWh,719.8342277845761
118,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2028,BkWh,35.96634865338113
119,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2029,BkWh,17.99756656233802
120,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2029,BkWh,371.6636828766853
121,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2029,BkWh,277.69434984783885
122,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2029,BkWh,0.6868524563643924
123,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2029,BkWh,18.661284460427776
124,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2029,BkWh,0.49753484111285173
125,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2029,BkWh,1132.1788832572752
126,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2029,BkWh,714.3613898962733
127,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2029,BkWh,10.452624915239722
128,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2029,BkWh,1.7880199177635274
129,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2029,BkWh,11.46073344801284
130,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2029,BkWh,7.262650019516437
131,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2029,BkWh,-4.21483713369416
132,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2029,BkWh,813.9150210230499
133,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2029,BkWh,2.713810033597503
134,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2029,BkWh,807.8306340631132
135,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2029,BkWh,35.883244240765094
136,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2030,BkWh,18.861674312885167
137,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2030,BkWh,334.9101437279142
138,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2030,BkWh,276.16334895378236
139,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2030,BkWh,0.8790557381005157
140,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2030,BkWh,19.54408416436367
141,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2030,BkWh,0.49733021771609004
142,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2030,BkWh,1089.4158361402929
143,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2030,BkWh,707.0498419658658
144,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2030,BkWh,29.457991468061255
145,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2030,BkWh,1.787284550752381
146,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2030,BkWh,11.456019940507984
147,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2030,BkWh,6.988915752509639
148,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2030,BkWh,-4.857924141074791
149,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2030,BkWh,847.1888272924269
150,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2030,BkWh,2.7038998294897807
151,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2030,BkWh,872.906396122313
152,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2030,BkWh,35.99199623521738
153,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2031,BkWh,19.725019501030516
154,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2031,BkWh,327.0245026272191
155,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2031,BkWh,274.69981794823
156,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2031,BkWh,1.0953780134917346
157,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2031,BkWh,20.102063581622094
158,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2031,BkWh,0.4971298781110519
159,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2031,BkWh,1047.0611552425912
160,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2031,BkWh,706.7697444440514
