,AEO Case,Case,GREET Pathway,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Basis,Fuel Pool,Generation Type,Year,Energy Unit,Electricity Production,Scope,Flow Name,Formula,EF_Unit (Numerator),EF_Unit (Denominator),EF_withElec,Total Emissions,Mitigation Case,"Emissions Category, Detailed","Emissions Category, Aggregate"
324,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2035,mmbtu,2078759657.3532596,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,276890053596.6749,-,CO2,CO2
325,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2035,mmbtu,2078759657.3532596,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,398701622.5532936,-,CH4,CH4
326,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2035,mmbtu,2078759657.3532596,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,2690896.1711733886,-,N2O,N2O
327,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2034,mmbtu,2073965501.7011995,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,276251473753.76044,-,CO2,CO2
328,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2034,mmbtu,2073965501.7011995,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,397782113.8306339,-,CH4,CH4
329,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2034,mmbtu,2073965501.7011995,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,2684690.270918155,-,N2O,N2O
330,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2033,mmbtu,2131074697.0217397,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,283858398439.465,-,CO2,CO2
331,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2033,mmbtu,2131074697.0217397,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,408735534.42279756,-,CH4,CH4
332,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2033,mmbtu,2131074697.0217397,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,2758616.5252031256,-,N2O,N2O
333,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2032,mmbtu,2157416731.73862,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,287367148178.1862,-,CO2,CO2
334,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2032,mmbtu,2157416731.73862,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,413787879.91441035,-,CH4,CH4
335,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2032,mmbtu,2157416731.73862,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,2792715.551567155,-,N2O,N2O
336,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2031,mmbtu,2154527744.4555597,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,286982336090.4506,-,CO2,CO2
337,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2031,mmbtu,2154527744.4555597,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,413233778.37928706,-,CH4,CH4
338,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2031,mmbtu,2154527744.4555597,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,2788975.8384208777,-,N2O,N2O
339,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2030,mmbtu,2150561629.878,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,286454051026.775,-,CO2,CO2
340,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2030,mmbtu,2150561629.878,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,412473086.150288,-,CH4,CH4
341,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2030,mmbtu,2150561629.878,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,2783841.814151434,-,N2O,N2O
342,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2029,mmbtu,2148006274.8198595,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,286113678633.7934,-,CO2,CO2
343,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2029,mmbtu,2148006274.8198595,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,411982974.5569268,-,CH4,CH4
344,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2029,mmbtu,2148006274.8198595,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,2780533.978578613,-,N2O,N2O
345,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2028,mmbtu,2201455499.5879197,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,293233096532.0473,-,CO2,CO2
346,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2028,mmbtu,2201455499.5879197,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,422234420.6843614,-,CH4,CH4
347,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2028,mmbtu,2201455499.5879197,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,2849722.503462574,-,N2O,N2O
348,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2027,mmbtu,2200271330.04948,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,293075365566.9469,-,CO2,CO2
349,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2027,mmbtu,2200271330.04948,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,422007299.518774,-,CH4,CH4
350,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2027,mmbtu,2200271330.04948,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,2848189.6291518104,-,N2O,N2O
351,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2026,mmbtu,2248427820.68082,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,299489793143.8784,-,CO2,CO2
352,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2026,mmbtu,2248427820.68082,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,431243610.6446277,-,CH4,CH4
353,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2026,mmbtu,2248427820.68082,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,2910526.8578923424,-,N2O,N2O
354,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2025,mmbtu,2541836040.0351,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,338571664535.4712,-,CO2,CO2
355,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2025,mmbtu,2541836040.0351,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,487518674.8220659,-,CH4,CH4
356,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2025,mmbtu,2541836040.0351,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,3290335.582416316,-,N2O,N2O
357,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2024,mmbtu,2569091508.0421195,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,342202083266.45374,-,CO2,CO2
358,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2024,mmbtu,2569091508.0421195,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,492746214.8502787,-,CH4,CH4
359,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2024,mmbtu,2569091508.0421195,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,3325617.0225982987,-,N2O,N2O
360,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2023,mmbtu,2558414406.7489796,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,340779897137.8857,-,CO2,CO2
361,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2023,mmbtu,2558414406.7489796,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,490698369.8314077,-,CH4,CH4
362,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2023,mmbtu,2558414406.7489796,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,3311795.8139331653,-,N2O,N2O
363,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2022,mmbtu,2513665057.3325396,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,334819299569.76154,-,CO2,CO2
364,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2022,mmbtu,2513665057.3325396,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,482115541.04818255,-,CH4,CH4
365,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2022,mmbtu,2513665057.3325396,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,3253869.0340953674,-,N2O,N2O
366,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2021,mmbtu,2595206123.628,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,345680540857.091,-,CO2,CO2
367,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2021,mmbtu,2595206123.628,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,497754941.84265393,-,CH4,CH4
368,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2021,mmbtu,2595206123.628,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,3359421.6612649844,-,N2O,N2O
369,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2020,mmbtu,2677820980.1450396,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,133.1996475,356684810623.42377,-,CO2,CO2
370,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2020,mmbtu,2677820980.1450396,"Electricity, Combustion",Methane,CH4,g,MMBtu,0.191797845,513600293.28760636,-,CH4,CH4
371,Reference case,Reference case,Nuclear-PWR Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Nuclear,Energy supply,Electricity,Nuclear,2020,mmbtu,2677820980.1450396,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,0.001294472,3466364.27981031,-,N2O,N2O
372,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2050,mmbtu,-8252966.902979999,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-27655618310.361862,-,CO2,CO2
373,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2050,mmbtu,-8252966.902979999,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-334806244.9532592,-,CH4,CH4
374,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2050,mmbtu,-8252966.902979999,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-153310694.15209568,-,N2O,N2O
375,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2049,mmbtu,-7051876.562279998,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-23630775316.423805,-,CO2,CO2
376,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2049,mmbtu,-7051876.562279998,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-286080428.9471154,-,CH4,CH4
377,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2049,mmbtu,-7051876.562279998,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-130998718.83015363,-,N2O,N2O
378,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2048,mmbtu,-6424008.680879999,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-21526795658.99127,-,CO2,CO2
379,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2048,mmbtu,-6424008.680879999,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-260609093.58741736,-,CH4,CH4
380,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2048,mmbtu,-6424008.680879999,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-119335172.6333935,-,N2O,N2O
381,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2047,mmbtu,-6192215.186399999,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-20750057731.22263,-,CO2,CO2
382,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2047,mmbtu,-6192215.186399999,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-251205698.371641,-,CH4,CH4
383,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2047,mmbtu,-6192215.186399999,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-115029276.10473578,-,N2O,N2O
384,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2046,mmbtu,-5848322.6565,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-19597676937.92695,-,CO2,CO2
385,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2046,mmbtu,-5848322.6565,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-237254671.0675425,-,CH4,CH4
386,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2046,mmbtu,-5848322.6565,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-108640979.25434466,-,N2O,N2O
387,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2045,mmbtu,-4384647.66996,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-14692915143.28579,-,CO2,CO2
388,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2045,mmbtu,-4384647.66996,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-177876324.8514051,-,CH4,CH4
389,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2045,mmbtu,-4384647.66996,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-81451117.61580096,-,N2O,N2O
390,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2044,mmbtu,-3784486.3653599997,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-12681779977.013252,-,CO2,CO2
391,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2044,mmbtu,-3784486.3653599997,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-153528989.5086667,-,CH4,CH4
392,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2044,mmbtu,-3784486.3653599997,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-70302260.81156129,-,N2O,N2O
393,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2043,mmbtu,-3288378.2700599995,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-11019326184.869324,-,CO2,CO2
394,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2043,mmbtu,-3288378.2700599995,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-133402883.29366045,-,CH4,CH4
395,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2043,mmbtu,-3288378.2700599995,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-61086341.57196593,-,N2O,N2O
396,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2042,mmbtu,-2921228.5939199994,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-9789010902.442287,-,CO2,CO2
397,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2042,mmbtu,-2921228.5939199994,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-118508360.40882336,-,CH4,CH4
398,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2042,mmbtu,-2921228.5939199994,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-54266009.88174482,-,N2O,N2O
399,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2041,mmbtu,-2771974.7660399997,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-9288862659.54563,-,CO2,CO2
400,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2041,mmbtu,-2771974.7660399997,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-112453433.22386649,-,CH4,CH4
401,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2041,mmbtu,-2771974.7660399997,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-51493406.01381002,-,N2O,N2O
402,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2040,mmbtu,-2697583.2897599996,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-9039577487.591148,-,CO2,CO2
403,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2040,mmbtu,-2697583.2897599996,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-109435520.86305927,-,CH4,CH4
404,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2040,mmbtu,-2697583.2897599996,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-50111477.67197119,-,N2O,N2O
405,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2039,mmbtu,-2457655.25352,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-8235580783.107553,-,CO2,CO2
406,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2039,mmbtu,-2457655.25352,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-99702123.67186026,-,CH4,CH4
407,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2039,mmbtu,-2457655.25352,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-45654470.36600202,-,N2O,N2O
408,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2038,mmbtu,-2371703.4469199996,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-7947557047.600102,-,CO2,CO2
409,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2038,mmbtu,-2371703.4469199996,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-96215231.99363193,-,CH4,CH4
410,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2038,mmbtu,-2371703.4469199996,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-44057792.312111534,-,N2O,N2O
411,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2037,mmbtu,-2277084.80472,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-7630490823.478565,-,CO2,CO2
412,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2037,mmbtu,-2277084.80472,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-92376744.2509852,-,CH4,CH4
413,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2037,mmbtu,-2277084.80472,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-42300115.35957549,-,N2O,N2O
414,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2036,mmbtu,-2215441.0834799996,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,3350.99106,-7423923264.698192,-,CO2,CO2
415,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2036,mmbtu,-2215441.0834799996,"Electricity, Combustion",Methane,CH4,g,MMBtu,40.5679859,-89875982.63689734,-,CH4,CH4
416,Reference case,Reference case,Other Power Plants,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Pumped Storage and Other,Energy supply,Electricity,Other,2036,mmbtu,-2215441.0834799996,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,18.5764339,-41154994.8466106,-,N2O,N2O
