,Case,Mitigation Case,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Basis,Fuel Pool,Generation Type,Scope,Formula,"Emissions Category, Detailed","Emissions Category, Aggregate",Year,EF_Unit (Numerator),Total Emissions
556,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2039,g,0.0
557,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2039,g,0.0
558,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2038,g,0.0
559,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2038,g,0.0
560,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2038,g,0.0
561,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2037,g,0.0
562,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2037,g,0.0
563,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2037,g,0.0
564,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2036,g,0.0
565,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2036,g,0.0
566,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2036,g,0.0
567,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2035,g,0.0
568,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2035,g,0.0
569,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2035,g,0.0
570,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2034,g,0.0
571,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2034,g,0.0
572,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2034,g,0.0
573,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2033,g,0.0
574,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2033,g,0.0
575,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2033,g,0.0
576,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2032,g,0.0
577,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2032,g,0.0
578,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2032,g,0.0
579,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2031,g,0.0
580,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2031,g,0.0
581,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2031,g,0.0
582,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2030,g,0.0
583,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2030,g,0.0
584,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2030,g,0.0
585,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2029,g,0.0
586,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2029,g,0.0
587,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2029,g,0.0
588,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2028,g,0.0
589,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2028,g,0.0
590,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2028,g,0.0
591,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2027,g,0.0
592,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2027,g,0.0
593,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2027,g,0.0
594,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2026,g,0.0
595,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2026,g,0.0
596,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2026,g,0.0
597,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2025,g,0.0
598,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2025,g,0.0
599,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2025,g,0.0
600,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2024,g,0.0
601,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2024,g,0.0
602,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2024,g,0.0
603,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2023,g,0.0
604,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2023,g,0.0
605,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2023,g,0.0
606,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CO2,CO2,CO2,2022,g,0.0
607,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",CH4,CH4,CH4,2022,g,0.0
608,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Geothermal,Energy supply,Electricity,Geothermal,"Electricity, Combustion",N2O,N2O,N2O,2022,g,0.0
609,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2050,g,0.0
610,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2050,g,1382.3904679055731
611,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2050,g,728.4723680043442
612,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2049,g,0.0
613,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2049,g,1354.538749100525
614,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2049,g,713.7954673587225
615,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2048,g,0.0
616,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2048,g,1330.0859313182423
617,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2048,g,700.909670988015
618,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2047,g,0.0
619,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2047,g,1305.7247143756483
620,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2047,g,688.0721451184058
621,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2046,g,0.0
622,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2046,g,1278.2945704139888
623,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2046,g,673.6173999574929
624,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2045,g,0.0
625,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2045,g,1255.325299436491
626,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2045,g,661.5133818752053
627,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2044,g,0.0
628,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2044,g,1218.7859882107145
629,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2044,g,642.2584179617045
630,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2043,g,0.0
631,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2043,g,1182.7130500892722
632,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2043,g,623.2492166800907
633,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2042,g,0.0
634,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2042,g,1147.7833818721665
635,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2042,g,604.8424794300339
636,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2041,g,0.0
637,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2041,g,1112.5252868440466
638,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2041,g,586.2626725138515
639,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2040,g,0.0
640,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2040,g,1078.7967676031117
641,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2040,g,568.4888995812662
642,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2039,g,0.0
643,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2039,g,1046.3646200154594
644,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2039,g,551.3982700513632
645,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2038,g,0.0
646,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2038,g,1003.8909457531935
647,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2038,g,529.0161003344699
648,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2037,g,0.0
649,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2037,g,958.078253857793
650,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2037,g,504.8743828353187
651,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2036,g,0.0
652,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2036,g,919.4211171530269
653,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2036,g,484.5033975244505
654,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2035,g,0.0
655,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2035,g,881.7604077013345
656,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2035,g,464.6574952038394
657,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2034,g,0.0
658,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2034,g,847.3046375711709
659,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2034,g,446.5004859934372
660,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2033,g,0.0
661,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2033,g,819.0170675538614
662,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2033,g,431.5939067063137
663,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2032,g,0.0
664,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2032,g,774.982311035174
665,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2032,g,408.38910017703864
666,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2031,g,0.0
667,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2031,g,743.8975924594331
668,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2031,g,392.00851952682154
669,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2030,g,0.0
670,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2030,g,711.0513598475301
671,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2030,g,374.69968139003475
672,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2029,g,0.0
673,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2029,g,678.1970044740268
674,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2029,g,357.38656283645184
675,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2028,g,0.0
676,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2028,g,647.8410488167303
677,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2028,g,341.3900152515938
678,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2027,g,0.0
679,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2027,g,623.938996467094
680,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2027,g,328.79445337558934
681,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2026,g,0.0
682,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2026,g,592.5402329396222
683,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2026,g,312.2483818058683
684,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2025,g,0.0
685,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2025,g,570.5564182125177
686,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2025,g,300.6636653716715
687,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2024,g,0.0
688,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2024,g,548.7573523574761
689,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2024,g,289.1763052571561
690,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2023,g,0.0
691,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2023,g,523.9206198083142
692,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2023,g,276.08819897052166
693,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2022,g,0.0
694,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2022,g,485.4645829892215
695,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Biogenic Municipal Waste,Energy supply,Electricity,Biomass,"Electricity, Combustion",N2O,N2O,N2O,2022,g,255.8231864027554
696,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Wood and Other Biomass,Energy supply,Electricity,Biomass,"Electricity, Combustion",CO2,CO2,CO2,2050,g,0.0
697,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Wood and Other Biomass,Energy supply,Electricity,Biomass,"Electricity, Combustion",CH4,CH4,CH4,2050,g,387.34204482250067
