,Case,Mitigation Case,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Basis,Fuel Pool,Generation Type,Scope,Formula,"Emissions Category, Detailed","Emissions Category, Aggregate",Year,EF_Unit (Numerator),Total Emissions
29,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2041,g,2194.8470929790037
30,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2040,g,93993456.49621737
31,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2040,g,15110.344266921911
32,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2040,g,2182.7834739349537
33,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2039,g,96447076.21465342
34,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2039,g,15504.787029511122
35,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2039,g,2239.7631911660005
36,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2038,g,98796265.92734237
37,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2038,g,15882.441673039099
38,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2038,g,2294.3177598896414
39,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2037,g,102508849.410639
40,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2037,g,16479.27486381082
41,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2037,g,2380.53403679898
42,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2036,g,105021649.48003258
