,Sector,End Use Application,Year,Energy carrier,Formula,Energy Unit,Emissions Unit,Total Emissions_ref_case,Electricity Production_ref_case,CI_ref_case_elec,Case,Mitigation Case,Total Emissions_mtg_elec,Electricity Production_mtg_elec,CI_elec_mtg,CI_diff_elec_mtg_ref_case
10,Electric Power,Electricity Generation,2032,Electricity,CH4,mmbtu,g,78818471488.82397,14741967098.064966,5.346536928519512,Mitigation,NREL Electric Power Decarb,8226894572.462776,15623151744.911274,0.5265835413230506,-4.8199533871964615
11,Electric Power,Electricity Generation,2033,Electricity,CH4,mmbtu,g,80007551424.02556,14851012186.70416,5.387346695173737,Mitigation,NREL Electric Power Decarb,7887513964.216665,16001630893.803207,0.4929193790659916,-4.894427316107746
12,Electric Power,Electricity Generation,2034,Electricity,CH4,mmbtu,g,79263403423.0187,14967185337.132162,5.295812247769375,Mitigation,NREL Electric Power Decarb,7900206279.104954,16355023360.287659,0.4830446343652304,-4.812767613404145
13,Electric Power,Electricity Generation,2035,Electricity,CH4,mmbtu,g,79168718727.98186,15106263710.721754,5.240787546413044,Mitigation,NREL Electric Power Decarb,6314105910.763993,16762929471.621685,0.37667079143017784,-4.864116754982866
14,Electric Power,Electricity Generation,2036,Electricity,CH4,mmbtu,g,78554309998.6696,15238571853.724499,5.154965357168293,Mitigation,NREL Electric Power Decarb,6443179991.332169,17186664156.58522,0.37489415820483163,-4.780071198963461
15,Electric Power,Electricity Generation,2037,Electricity,CH4,mmbtu,g,77166961932.87251,15375388265.92038,5.018862652328166,Mitigation,NREL Electric Power Decarb,6484037569.715694,17631267634.459152,0.3677578778875246,-4.6511047744406415
16,Electric Power,Electricity Generation,2038,Electricity,CH4,mmbtu,g,75246529767.70427,15503647260.145748,4.853472767091121,Mitigation,NREL Electric Power Decarb,6579168026.738563,18065474017.059273,0.3641846331032243,-4.489288133987897
17,Electric Power,Electricity Generation,2039,Electricity,CH4,mmbtu,g,73916870365.44554,15626224006.879532,4.730309147808404,Mitigation,NREL Electric Power Decarb,6678014921.333176,18472817920.59995,0.36150493931335687,-4.368804208495047
18,Electric Power,Electricity Generation,2040,Electricity,CH4,mmbtu,g,72629883999.2724,15757117431.744698,4.609338244376497,Mitigation,NREL Electric Power Decarb,6780990195.9812975,18876270660.6403,0.35923357520617794,-4.2501046691703195
19,Electric Power,Electricity Generation,2041,Electricity,CH4,mmbtu,g,72879474957.60097,15904171868.907461,4.582412436077845,Mitigation,NREL Electric Power Decarb,6906045258.203193,19278204463.491867,0.35823073000815653,-4.224181706069688
