,Case,Mitigation Case,Sector,Energy carrier,Formula,Year,EF_Unit (Numerator),Total Emissions
74,Reference case,-,Electric Power,Electricity,CH4,2041,g,21358.87594225354
75,Reference case,-,Electric Power,Electricity,CO2,2041,g,15069248261035.934
76,Reference case,-,Electric Power,Electricity,N2O,2041,g,1000003706.0373842
77,Reference case,-,Electric Power,Electricity,SF6,2041,g,200000000.0
78,Reference case,-,Electric Power,Electricity,CH4,2042,g,21369.816725797344
79,Reference case,-,Electric Power,Electricity,CO2,2042,g,15069250183140.938
80,Reference case,-,Electric Power,Electricity,N2O,2042,g,1000003700.1197109
81,Reference case,-,Electric Power,Electricity,SF6,2042,g,200000000.0
82,Reference case,-,Electric Power,Electricity,CH4,2043,g,21210.400446055857
83,Reference case,-,Electric Power,Electricity,CO2,2043,g,15069250501167.344
84,Reference case,-,Electric Power,Electricity,N2O,2043,g,1000003671.6730168
85,Reference case,-,Electric Power,Electricity,SF6,2043,g,200000000.0
86,Reference case,-,Electric Power,Electricity,CH4,2044,g,20600.31875144712
87,Reference case,-,Electric Power,Electricity,CO2,2044,g,15069247383765.621
88,Reference case,-,Electric Power,Electricity,N2O,2044,g,1000003568.4487542
89,Reference case,-,Electric Power,Electricity,SF6,2044,g,200000000.0
90,Reference case,-,Electric Power,Electricity,CH4,2045,g,20183.746168559366
91,Reference case,-,Electric Power,Electricity,CO2,2045,g,15069246023791.152
92,Reference case,-,Electric Power,Electricity,N2O,2045,g,1000003497.665053
93,Reference case,-,Electric Power,Electricity,SF6,2045,g,200000000.0
94,Reference case,-,Electric Power,Electricity,CH4,2046,g,19704.454618077376
95,Reference case,-,Electric Power,Electricity,CO2,2046,g,15069243096917.225
96,Reference case,-,Electric Power,Electricity,N2O,2046,g,1000003428.7748065
97,Reference case,-,Electric Power,Electricity,SF6,2046,g,200000000.0
98,Reference case,-,Electric Power,Electricity,CH4,2047,g,19472.534603366137
99,Reference case,-,Electric Power,Electricity,CO2,2047,g,15069242383810.562
100,Reference case,-,Electric Power,Electricity,N2O,2047,g,1000003391.5193609
101,Reference case,-,Electric Power,Electricity,SF6,2047,g,200000000.0
102,Reference case,-,Electric Power,Electricity,CH4,2048,g,18996.05865583874
103,Reference case,-,Electric Power,Electricity,CO2,2048,g,15069241089657.39
104,Reference case,-,Electric Power,Electricity,N2O,2048,g,1000003315.0751297
105,Reference case,-,Electric Power,Electricity,SF6,2048,g,200000000.0
106,Reference case,-,Electric Power,Electricity,CH4,2049,g,18917.433430249268
107,Reference case,-,Electric Power,Electricity,CO2,2049,g,15069241458403.71
108,Reference case,-,Electric Power,Electricity,N2O,2049,g,1000003299.7730796
109,Reference case,-,Electric Power,Electricity,SF6,2049,g,200000000.0
110,Reference case,-,Electric Power,Electricity,CH4,2050,g,18467.516898535945
111,Reference case,-,Electric Power,Electricity,CO2,2050,g,15069240495159.438
112,Reference case,-,Electric Power,Electricity,N2O,2050,g,1000003226.6858903
113,Reference case,-,Electric Power,Electricity,SF6,2050,g,200000000.0
