,Year,Sector,Formula,EF_Unit (Numerator),Total Emissions,End Use Application,Energy carrier,Case,Mitigation Case
61,2035,Electric Power,CO2,g,1421673128684104.5,Electricity Generation,Electricity,Reference case,-
62,2035,Electric Power,N2O,g,24495076063.72304,Electricity Generation,Electricity,Reference case,-
63,2035,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
64,2036,Electric Power,CH4,g,139157147346.35446,Electricity Generation,Electricity,Reference case,-
65,2036,Electric Power,CO2,g,1424875601225704.8,Electricity Generation,Electricity,Reference case,-
66,2036,Electric Power,N2O,g,24553530786.56255,Electricity Generation,Electricity,Reference case,-
67,2036,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
68,2037,Electric Power,CH4,g,138049208201.5792,Electricity Generation,Electricity,Reference case,-
69,2037,Electric Power,CO2,g,1425275561312515.5,Electricity Generation,Electricity,Reference case,-
70,2037,Electric Power,N2O,g,24445481374.37322,Electricity Generation,Electricity,Reference case,-
71,2037,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
72,2038,Electric Power,CH4,g,135728770086.18979,Electricity Generation,Electricity,Reference case,-
73,2038,Electric Power,CO2,g,1422000916255844.0,Electricity Generation,Electricity,Reference case,-
74,2038,Electric Power,N2O,g,24142665642.469448,Electricity Generation,Electricity,Reference case,-
75,2038,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
76,2039,Electric Power,CH4,g,135323555390.24763,Electricity Generation,Electricity,Reference case,-
77,2039,Electric Power,CO2,g,1429259760684436.2,Electricity Generation,Electricity,Reference case,-
78,2039,Electric Power,N2O,g,24118472990.17503,Electricity Generation,Electricity,Reference case,-
79,2039,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
80,2040,Electric Power,CH4,g,135500067854.97737,Electricity Generation,Electricity,Reference case,-
81,2040,Electric Power,CO2,g,1440779442217382.8,Electricity Generation,Electricity,Reference case,-
82,2040,Electric Power,N2O,g,24182973811.67067,Electricity Generation,Electricity,Reference case,-
83,2040,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
84,2041,Electric Power,CH4,g,135216882172.88484,Electricity Generation,Electricity,Reference case,-
85,2041,Electric Power,CO2,g,1444253913516990.2,Electricity Generation,Electricity,Reference case,-
86,2041,Electric Power,N2O,g,24184820095.452454,Electricity Generation,Electricity,Reference case,-
87,2041,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
88,2042,Electric Power,CH4,g,135719605323.10504,Electricity Generation,Electricity,Reference case,-
89,2042,Electric Power,CO2,g,1456435029178091.5,Electricity Generation,Electricity,Reference case,-
90,2042,Electric Power,N2O,g,24296772502.95619,Electricity Generation,Electricity,Reference case,-
91,2042,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
92,2043,Electric Power,CH4,g,135163780003.83884,Electricity Generation,Electricity,Reference case,-
93,2043,Electric Power,CO2,g,1465335795536054.5,Electricity Generation,Electricity,Reference case,-
94,2043,Electric Power,N2O,g,24256779010.905968,Electricity Generation,Electricity,Reference case,-
95,2043,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
96,2044,Electric Power,CH4,g,134798191214.40503,Electricity Generation,Electricity,Reference case,-
97,2044,Electric Power,CO2,g,1472532729169780.2,Electricity Generation,Electricity,Reference case,-
98,2044,Electric Power,N2O,g,24236389945.010178,Electricity Generation,Electricity,Reference case,-
99,2044,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
100,2045,Electric Power,CH4,g,133124025305.0451,Electricity Generation,Electricity,Reference case,-
101,2045,Electric Power,CO2,g,1471321884578324.8,Electricity Generation,Electricity,Reference case,-
102,2045,Electric Power,N2O,g,24017769273.512074,Electricity Generation,Electricity,Reference case,-
103,2045,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
104,2046,Electric Power,CH4,g,132957650281.4911,Electricity Generation,Electricity,Reference case,-
105,2046,Electric Power,CO2,g,1474759372867639.5,Electricity Generation,Electricity,Reference case,-
106,2046,Electric Power,N2O,g,24019150996.87931,Electricity Generation,Electricity,Reference case,-
107,2046,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
108,2047,Electric Power,CH4,g,133183713788.4039,Electricity Generation,Electricity,Reference case,-
109,2047,Electric Power,CO2,g,1481638822183545.8,Electricity Generation,Electricity,Reference case,-
110,2047,Electric Power,N2O,g,24112072084.946217,Electricity Generation,Electricity,Reference case,-
111,2047,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
112,2048,Electric Power,CH4,g,134089479406.70116,Electricity Generation,Electricity,Reference case,-
113,2048,Electric Power,CO2,g,1495710410973752.2,Electricity Generation,Electricity,Reference case,-
114,2048,Electric Power,N2O,g,24291265851.668274,Electricity Generation,Electricity,Reference case,-
