Table 6-5:  Land Use and Land-Use Change for the U.S. Managed Land Base for All 50 States (Thousands of Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land-Use & Land-Use Change Categories a,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 b
GS,"1,255","1,437","1,610","1,910","2,207","2,504","2,777","3,085","3,398","3,690","3,976","4,233","4,415","4,477","4,499","4,499","4,508","4,476","4,400","4,324","4,220","4,113","4,026","3,809","3,586","3,352","3,352","3,352","3,352","3,352"
WS,4,5,5,11,19,25,28,32,36,44,53,57,57,58,60,61,62,61,61,62,61,61,61,59,51,46,46,46,46,46
OS,54,65,71,88,105,126,138,165,184,194,209,218,226,225,226,235,241,244,242,238,236,228,232,224,214,197,197,197,197,197
Total Other Land,"21,715","21,798","21,834","21,870","21,673","21,722","21,666","21,774","21,854","21,757","21,689","21,683","21,745","21,851","21,910","21,997","22,053","22,116","22,152","22,150","22,143","22,161","22,207","22,206","22,215","22,236","22,243","22,243","22,243","22,243"
OO,"20,953","20,942","20,926","20,646","20,211","19,951","19,623","19,397","19,109","18,784","18,490","18,175","18,178","18,243","18,243","18,231","18,198","18,182","18,187","18,197","18,195","18,209","18,207","18,511","18,734","19,000","19,007","19,007","19,007","19,007"
FO,41,43,45,45,42,45,47,54,58,58,62,62,62,63,66,70,72,76,78,78,80,84,85,89,94,90,90,90,90,90
CO,301,327,360,361,365,389,408,447,486,507,455,487,508,520,542,590,622,668,688,675,662,667,671,673,677,678,678,678,678,678
GO,391,420,433,750,982,"1,256","1,510","1,795","2,116","2,319","2,583","2,851","2,878","2,900","2,928","2,965","3,011","3,034","3,042","3,040","3,042","3,067","3,102","2,784","2,564","2,331","2,331","2,331","2,331","2,331"
WO,26,64,67,63,62,69,66,66,69,71,82,89,100,106,114,121,128,134,135,134,137,108,117,127,127,121,121,121,121,121
SO,2,3,3,6,10,13,13,14,15,17,18,19,19,18,18,20,22,22,23,26,26,25,24,22,18,16,16,16,16,16
Grand Total,"886,515","886,515","886,515","886,515","886,515","886,515","886,515","886,515","886,513","886,512","886,512","886,512","886,512","886,512","886,512","886,513","886,513","886,513","886,513","886,513","886,513","886,513","886,513","886,513","886,513","886,513","886,513","886,513","886,513","886,513"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: All land areas reported in this table are considered managed. A planned improvement is underway to deal with an exception for Wetlands, which based on the definitions for the current U.S. Land Representation assessment includes both managed and unmanaged lands. U.S. Territories have not been classified into land uses and are not included in the U.S. Land Representation Assessment. See the Planned Improvements section for discussion on plans to include territories in future Inventories. In addition, C stock changes are not currently estimated for the entire land base, which leads to discrepancies between the managed land area data presented here and in the subsequent sections of the Inventory (see land use chapters e.g., Forest Land Remaining Forest Land for more information). Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a The abbreviations are “F” for Forest Land, “C” for Cropland, “G” for Grassland, “W” for Wetlands, “S” for Settlements, and “O” for Other Lands. Lands remaining in the same land-use category are identified with the land-use abbreviation given twice (e.g., “FF” is Forest Land Remaining Forest Land), and land-use change categories are identified with the previous land use abbreviation followed by the new land-use abbreviation (e.g., “CF” is Cropland Converted to Forest Land).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Land use data were not updated in this Inventory and the data for 2019 were assumed to be the same as in 2018. New land use activity data will be incorporated and the time series will be updated in the next Inventory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
