Table 6-72:  Approach 1 Quantitative Uncertainty Estimates for C Stock Changes Occurring within Unvegetated Open Water Coastal Wetlands Converted to Vegetated Coastal Wetlands  in 1990 (MMT CO2 Eq. and Percent),,,,,
,,,,,
Source,1990 Flux Estimate,Uncertainty Range,,Relative to Flux Estimate,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Biomass C Stock Flux,-0.4,-0.05,-0.03,-20.00%,20.00%
Dead Organic Matter C Stock Flux,(+),(+),(+),-25.80%,25.80%
Soil C Stock Flux,-0.003,-0.003,-0.005,-17.80%,17.80%
Total Flux,-0.04,-0.06,-0.03,-33.40%,33.40%
Note: Parentheses indicate net sequestration. Totals may not sum due to independent rounding.,,,,,
+ Absolute value does not exceed 0.0005 MMT CO2 Eq.,,,,,
