Table 6-54: Peat Production (Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Lower 48 States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Area of Drained Land ,"6,574","6,004","5,691","5,852","5,453","6,156","5,216","6,280","6,508","6,945","7,524","6,992","6,099","6,023","6,612","6,508","5,235","6,033","5,843","5,786","5,966","5,396","4,636","4,418","4,446","4,323","4,190","4,731","4,551","4,465"
     Area of Ditches ,346,316,300,308,287,324,275,331,343,366,396,368,321,317,348,343,276,318,308,305,314,284,244,233,234,228,221,249,240,235
     Total Production,"6,920","6,320","5,990","6,160","5,740","6,480","5,490","6,610","6,850","7,310","7,920","7,360","6,420","6,340","6,960","6,850","5,510","6,350","6,150","6,090","6,280","5,680","4,880","4,650","4,680","4,550","4,410","4,980","4,790","4,700"
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Area of Drained Land ,272,309,322,253,181,76,79,128,145,60,61,62,59,64,375,99,123,135,150,407,124,141,230,200,194,198,191,317,202,202
     Area of Ditches ,14,16,17,13,10,4,4,7,8,3,3,3,3,3,20,5,6,7,8,21,7,7,12,11,10,10,10,17,11,11
     Total Production,286,326,339,266,191,80,83,135,153,64,64,65,62,67,394,104,130,142,158,428,130,148,242,210,204,209,201,333,212,212
"Sources: Calculated using peat production values in Tables Table 6-50 and Table 6-51, an assumed yield of 100 metric tons per hectare per year, and an assumed value of 5 percent ditch area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
