Table 6-24:  Net CO2 Flux from Forest C Pools in Land Converted to Forest Land by Land Use Change Category (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use/Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Litter,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
Mineral Soil,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,+,+ ,+ ,+ ,+ 
Total Aboveground Biomass Flux,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-54.9,-55,-55,-55,-55,-55,-55,-55,-55,-55.1,-55.1,-55.1
Total Belowground Biomass Flux,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.6,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7
Total Dead Wood Flux,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.7,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8
Total Litter Flux,-20.1,-20.1,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.2,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.4,-20.4,-20.4
Total Mineral Soil Flux,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-1,-1,-1,-1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
Total Flux,-98.2,-98.2,-98.2,-98.2,-98.3,-98.3,-98.3,-98.3,-98.4,-98.4,-98.4,-98.5,-98.5,-98.6,-98.6,-98.7,-98.7,-98.7,-98.8,-98.8,-98.8,-98.9,-98.9,-98.9,-98.9,-98.9,-99,-99.1,-99.1,-99.1
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Totals may not sum due to independent rounding. Parentheses indicate net uptake. Forest ecosystem C stock changes from land conversion in Alaska are currently included in the Forest Land Remaining Forest Land section because there is insufficient data to separate the changes at this time. Forest ecosystem C stock changes from land conversion do not include U.S. Territories because managed forest land in U.S. Territories is not currently included in Section 6.1 Representation of the U.S. Land Base. The forest ecosystem C stock changes from land conversion do not include Hawaii because there is insufficient NFI data to support inclusion at this time. See Annex 3.13, Table A-218 for annual differences between the forest area reported in Section 6.1 Representation of the U.S. Land Base and Section 6.3 Land Converted to Forest Land. Since area estimates for some land use categories were not updated in the Land Representation in the current Inventory there are differences in the area estimates reported in this section and those reported in Section 6.1 Representation of the U.S. Land Base. The forest ecosystem C stock changes from land conversion do not include trees on non-forest land (e.g., agroforestry systems and settlement areas—see Section 6.10 Settlements Remaining Settlements for estimates of C stock change from settlement trees). It is not possible to separate emissions from drained organic soils between Forest Land Remaining Forest Land and Land Converted to Forest Land so estimates for all organic soils are included in Table 6?8 and Table 6?9 of the Forest Land Remaining Forest Land section of the Inventory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
