"Table 6-2:  Emissions and Removals from Land Use, Land-Use Change, and Forestry by Gas (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Forest Land Remaining Forest Land: Forest Soils f,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Grassland Remaining Grassland: Grassland Fires c,0.1,0.1,0.1,0.1,0.3,0.2,0.5,0.1,0.1,0.5,0.5,0.2,0.2,0.2,0.1,0.3,0.9,0.6,0.3,0.4,0.2,0.9,0.6,0.2,0.4,0.3,0.3,0.3,0.3,0.3
Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Forest Land Remaining Forest Land: Drained Organic Soils d,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
LULUCF Emissions g,7.9,8.2,7.5,7.5,8.7,7.8,9.3,7.5,8.1,9.9,11.2,9.5,22.2,17.8,20.1,16.8,12.6,22.8,12.1,15.6,11.9,12.7,22.2,11.6,17.0,27.8,13.2,26.0,23.4,23.5
LULUCF Carbon Stock Change a,-908.7,-906.9,-893.7,-874.9,-892.2,-863.1,-880.4,-863.3,-870.9,-866.5,-865.1,-861.7,-837.9,-854.9,-755.2,-804.8,-859.9,-821.6,-803.8,-771.9,-795.8,-813.3,-829.2,-800.2,-815.5,-791.7,-856.0,-792.0,-824.9,-812.7
LULUCF Sector Net Total h,-900.8,-898.6,-886.2,-867.5,-883.5,-855.3,-871.1,-855.8,-862.8,-856.6,-854.0,-852.3,-815.7,-837.0,-735.1,-788.1,-847.3,-798.8,-791.7,-756.2,-783.9,-800.6,-807.0,-788.5,-798.5,-763.8,-842.8,-766.1,-801.4,-789.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a LULUCF Carbon Stock Change is the net C stock change from the following categories: Forest Land Remaining Forest Land, Land Converted to Forest Land, Cropland Remaining Cropland, Land Converted to Cropland, Grassland Remaining Grassland, Land Converted to Grassland, Wetlands Remaining Wetlands, Land Converted to Wetlands, Settlements Remaining Settlements, and Land Converted to Settlements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Estimates include CH4 and N2O emissions from fires on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Estimates include CH4 and N2O emissions from fires on both Grassland Remaining Grassland and Land Converted to Grassland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Estimates include CH4 and N2O emissions from drained organic soils on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Estimates include N2O emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Estimates include N2O emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"g LULUCF emissions include the CH4 and N2O emissions reported for Peatlands Remaining Peatlands, Forest Fires, Drained Organic Soils, Grassland Fires, and Coastal Wetlands Remaining Coastal Wetlands; CH4 emissions from Land Converted to Coastal Wetlands; and N2O emissions from Forest Soils and Settlement Soils.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h The LULUCF Sector Net Total is the net sum of all LULUCF CH4 and N2O emissions to the atmosphere plus net carbon stock changes in units of MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
