Table A-81:  Transportation Sector Biofuel Consumption by Fuel Type (million gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ethanol,698.7339698,802.5722597,926.1600025,1081.076706,1212.251466,"1,290",928.6593419,1177.458228,1301.599711,1370.229671,"1,556",1627.763915,1929.597318,2626.63845,3285.944727,3721.160528,4944.767757,6213.36185,8788.108817,"10,072","11,833","11,972","11,997","12,154","12,758","12,793","13,261","13,401","13,573","13,589"
Biodiesel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.26684083,16.36424706,13.51147602,26.84269453,90.82627356,260.9266654,353.7044225,303.5536481,321.8301922,260.0724016,886.1694346,899.0460907,"1,429","1,417","1,494","2,085","1,985","1,904","1,813"
NA (Not Available) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: According to the MER, there was no biodiesel consumption prior to 2001.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
