Table A-250:  Conversion Factors to Energy Units (Heat Equivalents),
Fuel Type (Units),Factor
Solid Fuels (Million Btu/Short ton),
Anthracite coal,22.57
Bituminous coal,23.89
Sub-bituminous coal,17.14
Lignite,12.87
Coal Coke,24.8
Natural Gas (Btu/Cubic foot),"1,038"
Liquid Fuels (Million Btu/Barrel),
Motor gasoline,5.052
Aviation gasoline,5.048
Kerosene,5.67
"Jet fuel, kerosene-type",5.67
Distillate fuel,5.825
Residual oil,6.287
Naphtha for petrochemicals,5.248
Petroleum coke,6.024
Other oil for petrochemicals,5.825
Special naphthas,5.248
Lubricants,6.065
Waxes,5.537
Asphalt,6.636
Still gas,6.287
Misc. products,5.796
"Note: For petroleum and natural gas, Monthly Energy Review, November 2020 (EIA 2020). For coal ranks, State Energy Data Report 1992 (EIA 1993). All values are given in higher heating values (gross calorific values).",
