Table A-35:  Composition of Natural Gas (Percent),,
Compound,Average,Median
Methane ,93.07,95
Ethane,3.21,2.79
Propane,0.59,0.48
Higher Hydrocarbons,0.32,0.3
Non-hydrocarbons,2.81,1.43
Higher Heating Value (Btu per cubic foot),"1,027","1,031"
Source: Gas Technology Institute (1992). ,,
