Table A-148: Estimates of Average Monthly Milk Production by Beef Cows (lbs/cow),,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Beef Cow Milk Production (lbs/ head),3.3,5.1,8.7,12,13.6,13.3,11.7,9.3,6.9,4.4,3,2.8
