Table A-70: Commercial and Environmental Fate of Grease Lubricants (Percent),,
Fate of Grease,Portion of Total Grease,C Stored
Combusted During Use,5%,0.1%
Not Combusted During Use ,95%,81.7%
Landfilled,90%,77.0%
Dumped on the ground or in storm sewers,10%,4.8%
Weighted Average,NA,81.8%
