Table A-85:  Detailed Vehicle Miles Traveled for Alternative Fuel On-Road Vehicles (10^6 Miles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type/Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
   CNG Bi-fuel,+,+,+,+,+,0.1,0.3,1,2.2,4.4,7.8,12.7,17.3,20.3,10.9,11.6,9.9,9,7.8,6.6,6.3,6.1,6.8,7.1,9.5,10.2,11.3,12.3,13.9,15.1
   LPG ICE,215.6,215.7,188.5,239.7,225.1,210.8,216.7,215.9,218.7,190.1,192.5,195.5,202.1,208.7,132.3,123.6,65.2,48.7,36.9,33,29,27.1,25.6,23.6,22.7,17.9,16,14.8,12.1,9.8
   LPG Bi-fuel,39.9,39.9,34.9,44.4,41.7,39,40.1,40,40.5,35.2,35.6,36.3,37.6,38.9,31.6,33.3,18,7.8,12.6,6.4,7.8,7,9.4,10,12.7,9.5,11.5,12.5,12.9,13.5
   LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,+,0,0,0,+,0.1,+,0.1,0.1,0.2,0.3,0.3
   Biodiesel (BD100),0,0,0,0,0,0,0,0,0,0,7.8,15.7,25.9,21.8,43,144.3,455.3,595.6,538.8,585.1,427.5,"1,462.60","1,523.50","2,453.20","2,464.40","2,620.70","3,689.70","3,536.90","3,394.20","3,203.00"
Heavy-Duty Trucks,104.4,104.5,91.3,116.1,109,102,104.9,104.6,106,92.4,115.4,138.8,167.5,160.2,204.4,452.3,"1,118.00","1,494.90","1,270.40","1,323.60","1,103.50","3,663.70","3,666.00","5,795.90","5,771.20","6,133.60","8,613.10","8,268.90","7,977.30","7,353.30"
   Neat Methanol ICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Neat Ethanol ICE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.3,1.5,1.8,2.2,2.5,2.9,3.6,5.7,9.1,12.6,15,20.2,23.9,11.1,7.3,7.7
   CNG ICE,+,+,+,+,+,+,+,0.1,0.2,0.5,0.9,1.4,1.9,2.2,1.8,1.8,2.6,2.8,2.6,3.2,3.4,3.4,3.9,4.7,5.2,7.3,9.4,8.5,10.5,10.8
   LPG ICE,98.1,98.2,85.8,109.1,102.4,95.9,98.5,98.1,99.4,86.4,87.5,88.8,91.8,94.8,85.4,70,61.6,52.9,45.2,39.9,33,34.7,22.5,22.2,18,16.8,15.4,13.6,11.5,9.1
   LPG Bi-fuel,6.3,6.3,5.5,7,6.6,6.2,6.3,6.3,6.4,5.6,5.6,5.7,5.9,6.1,4.9,4.2,3.7,3.6,3.6,4.1,4.3,6.3,4.9,5.2,2.2,2.1,2.1,2.1,2,1.7
   LNG,+,+,+,+,+,+,+,+,+,+,+,+,+,0.2,0.5,0.7,0.8,0.8,1.1,1.2,1.5,1.6,1.6,1.4,1.9,2,1.6,1.6,1.4,1.3
   Biodiesel (BD100),0,0,0,0,0,0,0,0,0,0,21.4,42.8,67.8,55.8,110.5,374,"1,047.60","1,432.70","1,215.50","1,272.20","1,057.70","3,612.00","3,624.00","5,749.70","5,728.90","6,085.20","8,560.70","8,232.10","7,944.60","7,322.70"
Buses,20,23.3,26.8,36.8,38,38.7,43.5,46.5,62.7,90.4,140.3,211.9,279.8,325.6,468.7,497.3,600.9,605.4,633.3,664.5,673.1,761.9,754.5,823.8,824,906.5,922.8,987.9,995.1,982.8
   Neat Methanol ICE,6.4,9.4,12.4,15.4,15.5,10.4,1.7,1.7,2.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Neat Ethanol ICE,0,0,0.4,0.4,0.7,4.8,13.1,5.5,0.3,0.3,0.1,0,0,0,0,0,0,0,0,0,0,+,0.1,0.1,2.7,3.6,1.4,1,0.5,0.2
   CNG ICE,+,+,+,+,0.2,1.1,4.4,13.3,28.7,56.1,100.2,164,223.3,261.9,378.6,398.4,464.1,491.2,525.9,560.7,584.2,614.6,606.6,627.9,627.6,705.2,654.5,723.5,734.8,741.6
   LPG ICE,13.2,13.1,11.5,14.5,13.6,12.7,13,13,13.1,11.3,11.5,11.7,12.2,12.6,14,9.4,10.6,9.8,10.7,7.2,6.5,3.9,3.8,4,4.4,3.2,4.4,5.2,4.9,5.1
   LNG,0.4,0.8,1.8,5.9,7.3,8.5,10,11.4,16.4,17.9,22.3,27.5,29,32.5,56.8,59.2,64.4,38.7,38.3,34.7,35.5,38.1,39.7,28.4,26.2,21,17.5,10.7,6.8,3.3
   Biodiesel (BD100),0,0,0,0,0,0,0,0,0,0,0.9,1.8,2.8,2.3,4.5,14.6,43.2,59.3,51.8,57.5,42.5,100.4,101,160,159.3,168.8,236.7,227.1,218.9,197.1
   Electric,0,0,0.6,0.5,0.7,1.1,1.3,1.7,2.1,2.6,5.2,7,12.4,16.5,14.8,15.8,18.5,6.3,6.5,4.4,4.5,4.5,3,3.1,3.6,3.9,7.2,19.2,27.8,33.9
   Fuel Cell Hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.8,1.1,1.3,1.4,1.6
Total VMT,456.3,472.6,442.7,572.2,566.1,538.6,559.7,572.4,607.2,609.1,774.2,957.2,"1,185.20","1,200.40","1,315.10","1,734.40","2,871.90","3,417.90","3,076.10","3,242.80","2,847.70","7,333.50","7,863.30","12,345.70","13,272.80","14,914.60","20,465.30","21,702.20","24,484.40","26,645.20"
"Note: Throughout the rest of this Inventory, medium-duty trucks are grouped with heavy-duty trucks; they are reported separately here because these two categories may run on a slightly different range of fuel types. In 2017, estimates of alternative fuel vehicle mileage for the last ten years were revised to reflect updates made to EIA data on alternative fuel use and vehicle counts. These changes were incorporated into this year’s Inventory and apply to the 2005 to 2019 time period. Source: Derived from Browning (2017), Browning (2018a), and EIA (2019h).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.05 million vehicle miles traveled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
