Table A-96:  Emission Factors for CH4 for Alternative Fuel Vehicles (g/mi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Neat Ethanol ICE,0.296,0.296,0.296,0.296,0.296,0.296,0.256,0.216,0.175,0.135,0.095,0.091,0.087,0.084,0.080,0.076,0.091,0.106,0.121,0.136,0.151,0.136,0.120,0.105,0.090,0.075,0.075,0.075,0.075,0.075
CNG ICE,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.020,3.940,3.860,3.780,3.700,3.700,3.700,3.700,3.700
LPG ICE,0.158,0.158,0.158,0.158,0.158,0.158,0.156,0.155,0.153,0.151,0.149,0.123,0.097,0.071,0.044,0.018,0.017,0.016,0.015,0.014,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
LPG Bi-fuel,0.158,0.158,0.158,0.158,0.158,0.158,0.156,0.155,0.153,0.151,0.149,0.123,0.097,0.071,0.044,0.018,0.017,0.016,0.015,0.014,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
LNG,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.100,4.020,3.940,3.860,3.780,3.700,3.700,3.700,3.700,3.700
Biodiesel (BD100),0.012,0.012,0.012,0.012,0.012,0.012,0.011,0.009,0.008,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.007,0.008,0.009,0.009,0.009,0.009,0.009
Buses ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neat Methanol ICE,0.086,0.086,0.086,0.086,0.086,0.086,0.082,0.078,0.074,0.070,0.067,0.062,0.057,0.052,0.047,0.043,0.049,0.055,0.062,0.068,0.075,0.067,0.060,0.052,0.045,0.037,0.032,0.027,0.022,0.016
Neat Ethanol ICE,0.086,0.086,0.086,0.086,0.086,0.086,0.082,0.078,0.074,0.070,0.067,0.062,0.057,0.052,0.047,0.043,0.049,0.055,0.062,0.068,0.075,0.067,0.060,0.052,0.045,0.037,0.032,0.027,0.022,0.016
CNG ICE,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,17.040,15.280,13.520,11.760,10.000,10.000,10.000,10.000,10.000
LPG ICE,0.725,0.725,0.725,0.725,0.725,0.725,0.717,0.709,0.701,0.693,0.686,0.565,0.444,0.324,0.203,0.082,0.077,0.072,0.068,0.063,0.058,0.053,0.048,0.044,0.039,0.034,0.034,0.034,0.034,0.034
LNG,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,18.800,17.040,15.280,13.520,11.760,10.000,10.000,10.000,10.000,10.000
Biodiesel (BD100),0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.005,0.006,0.008,0.009,0.009,0.009,0.009,0.009
"Note: When driven in all-electric mode, plug-in electric vehicles have zero tailpipe emissions. Therefore, emissions factors for battery electric vehicle (BEVs) and the electric portion of plug-in hybrid electric vehicles (PHEVs) are not included in this table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Developed by ICF (Browning 2017) using ANL (2020). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
