Table A-79:  Fuel Consumption by Fuel and Vehicle Type (million gallons unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009 a,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
  Buses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
  Pipelines,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.6,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.9,1
LPG f,251,231,213,222,372,194,171,156,193,156,130,150,156,196,209,309,301,240,440,307,81,79,78,76,78,72,78,78,84,82
  Passenger Cars,1.1,1,0.9,1,1.7,0.9,0.8,0.7,0.9,0.7,0.6,0.7,0.7,0.9,2.3,1.5,2.6,2.5,5.1,4.4,0.5,0.2,0.2,0.2,1.3,3.7,3.2,0.5,0.3,0.1
  Light-Duty Trucks,34,31,29,30,51,26,23,21,26,21,18,20,21,27,36,60,77,57,80,76,19,15,8,8,17,11,10,11,13,13
  Medium- and Heavy-Duty Trucks,199,184,169,176,296,154,136,124,154,124,103,119,124,155,150,226,183,141,262,174,48,55,60,57,51,49,53,53,55,52
  Buses,16,15,14,14,24,13,11,10,13,10,8,10,10,13,21,22,38,40,92,52,14,9,10,10,9,8,12,14,15,17
"Electricity h,i","4,751","4,758","4,706","4,771","4,994","4,975","4,923","4,907","4,962","5,126","5,382","5,724","5,517","6,810","7,224","7,506","7,358","8,173","7,653","7,768","7,750","7,786","7,564","8,150","8,633","8,880","9,243","9,900","11,058","12,142"
  Passenger Cars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,31,68,113,151,190,238,338,415
  Light-Duty Trucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,1,1,2,3,17,32,51,64
  Buses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,2,5,8,9
  Rail,"4,751","4,758","4,706","4,771","4,994","4,975","4,923","4,907","4,962","5,126","5,382","5,724","5,517","6,810","7,224","7,506","7,358","8,173","7,653","7,768","7,745","7,770","7,531","8,080","8,517","8,725","9,034","9,624","10,661","11,654"
+ Does not exceed 0.05 trillion cubic feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a In 2011, FHWA changed its methodology for Table VM-1, which impacts estimates for the 2007 to 2019 time period. These methodological changes include how on-road vehicles are classified, moving from a system based on body-type to one that is based on wheelbase. This resulted in large changes in fuel consumption data by vehicle class between 2006 and 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Figures do not include ethanol blended in motor gasoline or biodiesel blended into distillate fuel oil. Net carbon fluxes associated with ethanol are accounted for in the Land Use, Land-Use Change and Forestry chapter. This table is calculated with the heat content for gasoline without ethanol (from Table A.1 in the EIA Monthly Energy Review) rather than the annually variable quantity-weighted heat content for gasoline with ethanol, which varies by year. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Gasoline and diesel highway vehicle fuel consumption estimates are based on data from FHWA Highway Statistics Table MF-21, MF-27, and VM-1 (FHWA 1996 through 2019). Data from Table VM-1 is used to estimate the share of consumption between each on-road vehicle class. These fuel consumption estimates are combined with estimates of fuel shares by vehicle type from DOE’s TEDB Annex Tables A.1 through A.6 (DOE 1993 through 2018). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Fluctuations in recreational boat gasoline estimates reflect the use of this category to reconcile bottom-up values with EIA total gasoline estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Class II and Class III diesel consumption data for 2014-2019 is estimated by applying the historical average fuel usage per carload factor to the annual number of carloads.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Estimated based on EIA transportation sector energy estimates by fuel type, with bottom-up activity data used for apportionment to modes. Transportation sector natural gas and LPG consumption are based on data from EIA (2020a). In previous Inventory years, data from DOE TEDB was used to estimate each vehicle class’s share of the total natural gas and LPG consumption. Since TEDB does not include estimates for natural gas use by medium and heavy-duty trucks or LPG use by passenger cars, EIA Alternative Fuel Vehicle Data (Browning 2017) is now used to determine each vehicle class’s share of the total natural gas and LPG consumption. These changes were first incorporated in the 2016 Inventory and apply to the 1990 through 2019 time period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g Fluctuations in reported fuel consumption may reflect data collection problems. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h Million kilowatt-hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i  Electricity consumption by passenger cars, light-duty trucks (SUVs), and buses is based on plug-in electric vehicle sales data and engine efficiencies, as outlined in Browning (2018a).  In prior Inventory years, CO2 emissions from electric vehicle charging were allocated to the residential and commercial sectors. They are now allocated to the transportation sector. These changes were first incorporated in the 2017 Inventory and applied to the 2010 through 2019 time period.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
