Table A-24:  1990 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu) a,,,,,,,Emissions b (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,31.1,124.5,1668.2,NO,16261.0,5.4,18090.1,3.0,12.0,157.8,NO,1546.5,0.5,1719.8
Residential Coal,31.1,,,,,,31.1,3.0,,,,,,3.0
Commercial Coal,,124.5,,,,,124.5,,12.0,,,,,12.0
Industrial Other Coal,,,1668.2,,,,1668.2,,,157.8,,,,157.8
Transportation Coal,,,,NO,,,NO,,,,NO,,,NO
Electric Power Coal,,,,,16261.0,,16261.0,,,,,1546.5,,1546.5
U.S. Territory Coal (bit),,,,,,5.4,5.4,,,,,,0.5,0.5
Natural Gas ,4486.6,2679.6,7712.8,679.2,3308.5,,18866.7,237.8,142.0,408.8,36.0,175.4,,1000.0
Total Petroleum,1375.8,1022.6,3846.2,19977.2,1289.4,294.8,27805.9,97.8,74.3,287.2,1433.1,97.5,21.2,2011.2
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,45.0,,,45.0,,,,3.1,,,3.1
Distillate Fuel Oil,959.3,525.5,1098.3,3554.8,96.5,56.4,6290.8,70.9,38.9,81.2,262.9,7.1,4.2,465.2
Jet Fuel,,,,2590.1,NA,48.6,2638.7,,,,184.2,NA,3.5,187.7
Kerosene,63.9,11.8,12.3,,,2.0,90.0,4.7,0.9,0.9,,,0.1,6.6
LPG (Propane),352.6,102.4,,22.9,,,477.9,22.2,6.4,,1.4,,,30.0
HGL,,,227.1,,,33.4,260.5,,,14.6,,,2.1,16.7
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,153.0,254.8,13464.1,,75.9,13947.7,,10.9,18.1,958.9,,5.4,993.3
Residual Fuel,,229.8,364.1,300.3,1162.6,78.5,2135.3,,17.3,27.3,22.6,87.3,5.9,160.3
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,0.2,,,,0.2,,,+,,,,+
Crude Oil,,,50.9,,,,50.9,,,3.8,,,,3.8
MoGas Blend Components,,,53.7,,,,53.7,,,3.8,,,,3.8
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,126.1,,,,126.1,,,8.4,,,,8.4
Petroleum Coke,,,591.2,,30.4,,621.5,,,60.4,,3.1,,63.5
Still Gas,,,1436.5,,,,1436.5,,,95.8,,,,95.8
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,-369.0,,,,-369.0,,,-27.3,,,,-27.3
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,52.7,,52.7,,,,,0.5,,0.5
Total (All Fuels),5893.5,3826.6,13227.1,20656.4,20911.6,300.2,64815.4,338.6,228.3,853.8,1469.1,1820.0,21.7,4731.5
Note: Parentheses indicate negative values.,,,,,,,,,,,,,,
+ Does not exceed 0.05 TBtu or 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,
NA (Not Available),,,,,,,,,,,,,,
"a Expressed as gross calorific values (i.e., higher heating values). Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-25), and international bunker fuel consumption (see Table A-26).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting. These are designated with parentheses. ,,,,,,,,,,,,,,
