Table A-113: Underground Coal Mining CH4 Emissions (Billion Cubic Feet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ventilation Output,112,NA,NA,95,96,100,90,96,94,92,87,84,79,76,83,75,79,81,100,114,117,97,90,89,89,84,76,78,73,62
Adjustment Factor for Mine Data,98%,NA,NA,98%,98%,91%,91%,100%,98%,98%,98%,98%,98%,98%,98%,98%,98%,100%,99%,99%,99%,99%,99%,100%,100%,100%,100%,100%,100%,100%
Adjusted Ventilation Output,114,NA,NA,97,98,109,99,96,96,94,89,86,80,77,84,77,80,81,101,115,118,98,91,89,89,84,76,78,73,62
Degasification System Liberated,54,NA,NA,45,46,37,52,43,49,40,45,49,51,49,45,47,54,45,49,49,59,50,45,45,42,43,42,42,47,42
Total Underground Liberated,168,164,162,142,144,146,151,139,146,134,134,136,131,127,130,124,134,126,150,164,177,148,137,134,131,127,119,121,120,104
Recovered & Used,-14,-14,-17,-22,-27,-31,-38,-29,-35,-31,-37,-41,-43,-38,-40,-37,-45,-38,-40,-41,-49,-44,-39,-38,-35,-34,-34,-36,-39,-33
Total,154,150,145,120,117,116,113,111,110,103,98,95,88,89,90,87,89,88,110,123,127,104,98,96,96,93,85,84,81,72
