"Table A-167:  Livestock Population (1,000 Head) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Poultry c,"1,537,074","1,594,944","1,649,998","1,707,422","1,769,135","1,826,977","1,882,078","1,926,790","1,965,312","2,008,632","2,150,410","2,060,398","2,097,691","2,085,268","2,130,877","2,150,410","2,154,236","2,166,936","2,175,990","2,088,828","2,104,335","2,095,951","2,168,697","2,106,502","2,116,333","2,134,445","2,173,216","2,214,462","2,252,265","2,277,413"
  Hens >1 yr.,"273,467","280,121","284,500","290,626","298,527","299,071","303,922","312,137","321,828","330,180","348,203","340,317","340,209","340,979","343,922","348,203","349,888","346,613","339,859","341,005","341,884","338,944","346,965","361,403","370,637","351,656","377,299","388,006","396,870","403,273"
  Pullets ,"73,167","76,616","79,870","81,774","79,853","81,369","81,572","90,344","95,845","97,562","96,809","95,656","95,289","100,346","101,429","96,809","96,596","103,816","99,458","102,301","105,738","102,233","104,460","106,646","106,490","118,114","112,061","117,173","124,135","122,095"
  Chickens,"6,545","6,857","7,113","7,240","7,369","7,637","7,243","7,549","7,682","9,661","8,289","8,126","8,353","8,439","8,248","8,289","7,938","8,164","7,589","8,487","7,390","6,922","6,827","6,853","6,403","7,211","6,759","6,859","6,568","7,130"
  Broilers,"1,066,209","1,115,845","1,164,089","1,217,147","1,275,916","1,331,940","1,381,229","1,411,673","1,442,593","1,481,165","1,613,091","1,525,413","1,562,015","1,544,155","1,589,209","1,613,091","1,612,327","1,619,400","1,638,055","1,554,582","1,567,927","1,565,018","1,625,945","1,551,600","1,553,636","1,579,764","1,595,764","1,620,691","1,643,109","1,668,582"
  Turkeys,"117,685","115,504","114,426","110,635","107,469","106,960","108,112","105,088","97,365","90,064","84,018","90,887","91,826","91,349","88,069","84,018","87,487","88,943","91,029","82,453","81,396","82,833","84,500","80,000","79,167","77,700","81,333","81,733","81,583","76,333"
Horses,"2,212","2,131","2,050","2,244","2,438","2,632","2,826","3,020","3,145","3,270","3,875","3,519","3,644","3,721","3,798","3,875","3,952","4,029","3,947","3,866","3,784","3,703","3,621","3,467","3,312","3,157","3,002","2,847","2,692","2,538"
Mules and Asses,63,65,68,79,90,101,112,123,120,116,212,109,105,141,177,212,248,284,286,287,289,291,293,298,303,308,313,318,323,328
American Bison,47,56,66,76,90,104,118,132,152,175,212,213,232,225,218,212,205,198,191,184,177,169,162,166,171,175,179,184,188,189
Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Prior to 2008, the Market <50 lbs category was <60 lbs and the Market 50-119 lbs category was Market 60-119 lbs; USDA updated the categories to be more consistent with international animal categories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b NOF - Not on Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Pullets includes laying pullets, pullets younger than 3 months, and pullets older than 3 months.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source(s): See Step 1: Livestock Population Characterization Data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
