Table A-21:  2005 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu) a,,,,,,,Emissions b (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,8.4,97.0,1246.0,NO,20737.2,32.7,22121.4,0.8,9.3,117.8,NO,1982.8,3.0,2113.7
Residential Coal,8.4,,,,,,8.4,0.8,,,,,,0.8
Commercial Coal,,97.0,,,,,97.0,,9.3,,,,,9.3
Industrial Other Coal,,,1246.0,,,,1246.0,,,117.8,,,,117.8
Transportation Coal,,,,NO,,,NO,,,,NO,,,NO
Electric Power Coal,,,,,20737.2,,20737.2,,,,,1982.8,,1982.8
U.S. Territory Coal (bit),,,,,,32.7,32.7,,,,,,3.0,3.0
Natural Gas ,4946.4,3073.2,7330.7,623.9,6014.5,24.3,22013.1,262.2,162.9,388.6,33.1,318.9,1.3,1167.0
Total Petroleum,1366.4,760.7,4617.6,25371.2,1222.1,712.4,34050.4,95.9,54.9,346.4,1825.6,98.0,51.6,2472.3
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,35.4,,,35.4,,,,2.4,,,2.4
Distillate Fuel Oil,769.1,402.9,1123.8,6193.8,114.5,136.5,8740.6,57.4,30.1,83.9,462.6,8.5,10.2,652.8
Jet Fuel,,,,2621.7,NA,65.5,2687.2,,,,189.3,NA,4.7,194.1
Kerosene,83.8,21.6,39.1,,,5.8,150.2,6.1,1.6,2.9,,,0.4,11.0
LPG (Propane),513.5,131.6,,28.2,,,673.3,32.3,8.3,,1.8,,,42.3
HGL,,,281.9,,,73.6,355.4,,,18.0,,,4.7,22.7
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,88.6,689.5,16235.7,,200.2,17213.9,,6.3,48.8,1150.1,,14.2,1219.4
Residual Fuel,,115.8,237.4,256.4,876.5,230.9,1717.0,,8.7,17.8,19.3,65.8,17.3,128.9
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,8.3,,,,8.3,,,0.6,,,,0.6
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,98.9,,,,98.9,,,6.6,,,,6.6
Petroleum Coke,,0.3,706.6,,231.1,,938.0,,+,72.1,,23.6,,95.8
Still Gas,,,1429.4,,,,1429.4,,,95.4,,,,95.4
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,2.8,,,,2.8,,,0.2,,,,0.2
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,50.1,,50.1,,,,,0.5,,0.5
Total (All Fuels),6321.2,3931.0,13194.3,25995.1,28024.0,769.4,78235.0,358.9,227.1,852.9,1858.6,2400.1,55.9,5753.5
+ Does not exceed 0.05 TBtu or 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,
NA (Not Available),,,,,,,,,,,,,,
"a Expressed as gross calorific values (i.e., higher heating values). Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-25), and international bunker fuel consumption (see Table A-26).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting. These are designated with parentheses. ,,,,,,,,,,,,,,
