Table A-71: Emissive and Non-emissive (Storage) Fates of Waxes: Uses by Fate and Percent of Total Mass,,
Use,Emissive,Non-emissive
Packaging,6%,24%
Non-packaging,36%,34%
Candles ,18%,2%
Construction Materials,4%,14%
Firelogs,7%,+
Cosmetics,1%,2%
Plastics,1%,2%
Tires/Rubber,1%,1%
Hot Melts,1%,1%
Chemically Modified,+,1%
Other,2%,9%
Total,42%,58%
+ Does not exceed 0.5 percent.,,
