Table A-149: Dairy Lactation Rates by State (lbs/ year/cow) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Montana,"13,542","13,750","14,217","13,955","14,619","15,000","15,350","15,526","16,167","16,833","17,789","18,211","18,944","19,167","19,333","19,579","18,632","18,500","18,412","19,933","20,643","20,571","21,357","21,286","21,500","21,357","21,071","22,154"
Nebraska,"13,866","13,913","13,977","13,720","14,416","14,797","15,217","15,072","15,000","15,392","16,513","16,194","17,418","17,641","17,197","17,950","18,328","18,220","18,672","19,639","19,797","20,579","21,179","21,574","22,130","22,930","23,317","24,067"
Nevada,"16,400","17,500","17,650","17,400","18,356","18,128","18,800","18,346","19,350","18,200","19,000","19,412","20,040","19,400","20,360","21,680","20,148","20,481","23,321","21,893","23,714","22,966","22,931","22,034","23,793","23,069","22,000","22,156"
New Hampshire,"15,100","15,143","15,810","15,476","15,650","16,300","16,200","16,400","16,650","16,895","17,333","17,889","18,222","19,063","18,938","18,875","19,533","19,333","19,933","19,533","19,600","20,429","19,643","20,923","20,143","20,143","20,500","21,000"
New Jersey,"13,538","14,160","14,280","14,520","13,750","13,913","13,500","14,238","15,368","16,471","15,250","16,643","18,154","16,615","16,667","16,000","16,182","16,800","16,900","17,556","17,500","16,875","18,571","18,143","18,143","18,143","17,429","19,833"
New Mexico,"18,815","19,561","19,586","20,338","20,152","18,969","19,246","19,856","20,065","20,362","20,944","20,750","20,983","21,028","20,666","21,192","21,853","21,958","23,269","24,320","24,551","24,854","24,694","24,944","25,093","24,245","24,479","24,960"
New York,"14,658","15,005","15,724","15,702","15,877","16,501","16,396","16,495","16,762","17,235","17,378","17,530","18,101","17,812","17,786","18,639","18,879","19,303","19,859","20,071","20,807","21,046","21,623","22,070","22,325","22,806","23,834","23,936"
North Carolina,"15,220","15,424","15,505","15,768","16,367","16,314","15,951","16,506","16,680","16,658","16,746","17,224","17,766","17,115","17,649","18,741","18,510","19,188","18,979","19,644","19,682","20,089","20,435","20,326","20,891","20,957","20,978","21,156"
North Dakota,"12,624","12,622","12,679","12,930","12,779","13,094","12,968","12,732","13,843","14,061","14,292","14,000","14,825","14,286","13,676","14,182","14,688","15,310","16,077","16,826","18,286","18,158","19,278","18,944","20,250","20,750","21,500","21,563"
Ohio,"13,767","14,446","15,000","15,148","15,350","15,917","15,516","16,352","16,705","17,077","17,027","16,519","17,080","17,269","17,338","17,567","17,737","18,109","18,339","18,744","19,446","19,194","19,833","20,178","20,318","20,573","20,936","21,259"
Oklahoma,"12,327","12,354","12,823","13,094","13,406","13,611","13,245","13,576","13,435","13,576","14,440","15,407","15,560","16,000","16,192","16,480","16,630","16,580","16,578","16,983","17,125","17,415","17,896","17,311","18,150","18,641","18,703","18,667"
Oregon,"16,273","16,590","16,784","16,920","17,140","17,289","17,290","17,889","17,787","18,708","18,222","18,074","18,360","18,412","18,917","18,876","19,000","19,417","19,772","19,719","20,331","20,488","20,431","20,439","20,565","20,408","20,744","20,395"
Pennsylvania,"14,726","15,263","16,050","15,908","16,009","16,492","16,536","16,951","17,411","17,745","18,081","18,112","18,419","17,979","17,904","18,722","19,390","19,422","19,262","19,360","19,847","19,495","19,549","19,797","20,121","20,377","20,454","20,834"
Rhode Island,"14,250","14,333","14,478","14,000","14,364","14,773","15,600","15,950","15,714","15,500","15,667","16,571","16,357","17,000","16,333","17,000","17,273","16,455","18,091","17,818","17,727","17,909","16,636","19,000","19,000","17,667","17,625","16,250"
South Carolina,"12,771","12,273","13,419","14,414","14,679","14,481","14,654","15,269","14,960","15,375","16,087","17,476","18,200","16,737","16,882","16,000","16,294","17,889","17,944","19,118","17,875","17,438","17,250","16,500","16,438","17,400","16,667","16,467"
South Dakota,"12,257","12,309","12,769","12,952","13,242","13,398","13,161","13,181","14,000","14,480","15,516","15,393","14,988","16,220","16,838","17,741","18,580","19,306","19,956","20,128","20,478","20,582","21,391","21,521","21,753","22,255","22,139","22,376"
Tennessee,"11,825","11,863","11,855","12,318","13,130","13,740","13,932","14,239","14,295","14,608","14,789","14,511","14,943","15,253","15,400","15,743","15,657","15,857","16,068","16,232","16,346","16,200","16,100","15,938","16,196","16,489","16,571","17,325"
Texas,"14,350","14,036","14,482","15,000","15,485","15,244","15,416","15,259","15,923","16,290","16,503","15,666","16,719","17,649","18,837","19,646","19,501","18,982","20,134","20,898","21,375","22,232","22,009","21,991","22,268","22,248","22,680","23,589"
Utah,"15,838","15,975","16,402","16,444","16,640","16,739","17,000","16,923","16,811","17,398","17,573","17,211","17,914","17,824","18,364","18,875","20,314","20,376","20,988","21,083","21,898","22,161","22,863","22,432","22,989","23,125","22,772","23,316"
Vermont,"14,528","14,683","15,305","15,457","15,551","16,210","16,468","16,250","16,460","16,938","17,199","17,444","17,552","17,698","17,890","18,469","18,383","18,079","18,400","18,289","18,537","18,940","19,316","19,448","20,197","20,197","20,977","21,147"
Virginia,"14,213","14,614","14,956","15,114","14,800","15,116","14,325","14,864","14,847","15,479","15,833","15,975","15,891","15,319","16,486","16,990","17,363","17,530","17,612","18,083","18,095","17,906","17,990","18,337","19,129","19,462","19,144","19,954"
Washington,"18,532","18,814","19,422","19,377","19,935","20,091","20,541","20,968","21,476","22,409","22,644","22,324","22,753","22,780","22,852","23,270","23,055","23,239","23,344","23,171","23,514","23,727","23,794","23,820","24,088","23,848","24,094","23,818"
West Virginia,"11,250","11,739","12,087","11,957","12,364","12,667","12,600","14,778","15,444","15,278","15,588","15,563","15,188","14,400","14,923","14,923","15,385","15,000","15,083","14,727","15,700","15,700","15,400","15,200","15,556","15,667","14,889","15,875"
Wisconsin,"13,973","14,140","14,737","14,805","15,001","15,397","15,442","16,057","16,685","16,902","17,306","17,182","17,367","17,728","17,796","18,500","18,824","19,310","19,546","20,079","20,630","20,599","21,436","21,693","21,869","22,697","23,542","23,725"
Wyoming ,"12,337","12,563","13,190","13,658","12,859","13,197","13,394","12,697","13,082","13,300","13,571","14,000","14,409","14,211","14,744","14,878","17,612","18,831","19,386","19,036","20,067","20,517","20,650","21,367","21,583","22,567","23,300","23,033"
Source: USDA (2018).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1] This table has not been updated for the current (1990 through 2019) Inventory. It will be updated for the next (1990 through 2020) Inventory submission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
