Table A-80:  Energy Consumption by Fuel and Vehicle Type (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009 a,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
  Buses,+,+,+,+,+,+,0.1,0.4,0.8,1.4,2.9,4.8,6.5,7.6,11,11.7,13.3,13.7,14.4,14.9,15.2,14.7,14.5,15,15.1,17,15.9,17.5,17.9,18.3
  Pipelines,679,620,608,644,709,724,737,780,665,674,668,652,691,618,590,611,611,649,677,699,703,718,765,872,744,727,740,780,943,"1,016"
LPG f,23,21,19,20,34,18,16,14,18,14,12,14,14,18,19,28,28,22,40,28,7,7,7,7,7,7,7,7,8,8
  Passenger Cars,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.5,0.4,+,+,+,+,0.1,0.3,0.3,+,+,+
  Light-Duty Trucks,3,3,3,3,5,2,2,2,2,2,2,2,2,2,3,5,7,5,7,7,2,1,1,1,2,1,1,1,1,1
  Medium- and Heavy-Duty Trucks,18,17,15,16,27,14,12,11,14,11,9,11,11,14,14,21,17,13,24,16,4,5,6,5,5,4,5,5,5,5
  Buses,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,4,8,5,1,1,1,1,1,1,1,1,1,2
Electricity h,3,3,3,3,3,3,3,3,3,3,3,4,3,4,5,5,5,5,5,4,5,4,4,4,4,4,4,4,5,5
Passenger Cars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0.1,0.2,0.4,0.5,0.6,0.8,1.2,1.4
Light-Duty Trucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,+,+,0.1,0.1,0.2,0.2
Buses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,+,+,+,+,+,+
Rail,3,3,3,3,3,3,3,3,3,3,3,4,3,4,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3
Total,"20,659","33,015","33,929","34,664","35,604","22,257","37,157","37,749","38,687","40,069","24,973","40,295","41,105","41,203","41,918","41,979","41,588","41,294","39,479","23,619","23,756","23,411","23,297","23,505","24,031","24,184","24,742","25,053","25,573","25,598"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.05 TBtu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a In 2011, FHWA changed its methodology for Table VM-1, which impacts estimates for the 2007 to 2019 time period. These methodological changes include how on-road vehicles are classified, moving from a system based on body-type to one that is based on wheelbase. This resulted in large changes in fuel consumption data by vehicle class between 2006 and 2007. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Figures do not include ethanol blended in motor gasoline or biodiesel blended into distillate fuel oil. Net carbon fluxes associated with ethanol are accounted for in the Land Use, Land-Use Change and Forestry chapter. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Gasoline and diesel highway vehicle fuel consumption estimates are based on data from FHWA Highway Statistics Table MF-21, MF-27, and VM-1 (FHWA 1996 through 2019). Data from Table VM-1 is used to estimate the share of consumption between each on-road vehicle class. These fuel consumption estimates are combined with estimates of fuel shares by vehicle type from DOE’s TEDB Annex Tables A.1 through A.6 (DOE 1993 through 2018). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Fluctuations in recreational boat gasoline estimates reflect the use of this category to reconcile bottom-up values with EIA total gasoline estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Class II and Class III diesel consumption data for 2014-2019 is estimated by applying the historical average fuel usage per carload factor to the annual number of carloads. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Estimated based on EIA transportation sector energy estimates, with bottom-up data used for apportionment to modes. Transportation sector natural gas and LPG consumption are based on data from EIA (2020a). In previous Inventory years, data from DOE TEDB was used to estimate each vehicle class’s share of the total natural gas and LPG consumption. Since TEDB does not include estimates for natural gas use by medium and heavy-duty trucks or LPG use by passenger cars, EIA Alternative Fuel Vehicle Data (Browning 2017) is now used to determine each vehicle class’s share of the total natural gas and LPG consumption. These changes were first incorporated in the 2016 Inventory and apply to the 1990–2019 time period. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g Fluctuations in reported fuel consumption may reflect data collection problems. Residual fuel oil for ships and boats data is based on EIA (2020a). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h Electricity consumption by passenger cars, light-duty trucks (SUVs), and buses is based on plug-in electric vehicle sales data and engine efficiencies, as outlined in Browning (2018a). In Inventory years prior to 2017, CO2 emissions from electric vehicle charging were allocated to the residential and commercial sectors. They are now allocated to the transportation sector. These changes were first incorporated in the 2017 Inventory and apply to the 2010 through 2019 time period. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
