"Table A-5: 1990 Key Category Approach 1 and Approach 2 Analysis—Level Assessment, with LULUCF",,,,,,
CRF Source/Sink Category,Greenhouse Gas,1990 Estimate (MMT CO2 Eq.),Approach 1 Level Assessment,Cumulative Total,Uncertainty a,Approach 2 Level Assessment
1.A.4.b CO2 Emissions from Stationary Combustion - Oil - Residential,CO2,97.8,0.01,0.84,6%,0.001
1.A.1 CO2 Emissions from Stationary Combustion - Oil - Electricity Generation,CO2,97.5,0.01,0.85,8%,0.001
1.B.1 Fugitive Emissions from Coal Mining,CH4,96.5,0.01,0.87,20%,0.003
1.A.4.a CO2 Emissions from Stationary Combustion - Oil - Commercial,CO2,74.3,0.01,0.88,5%,0.001
4.E.2 Net CO2 Emissions from Land Converted to Settlements,CO2,62.9,0.01,0.89,34%,0.003
4.B.2 Net CO2 Emissions from Land Converted to Cropland,CO2,51.8,0.01,0.89,103%,0.007
1.B.2.a CH4 Emissions from Petroleum Systems,CH4,48.9,0.01,0.9,29%,0.002
2.B.9 HFC-23 Emissions from HCFC-22 Production,HFCs,46.1,0.01,0.9,10%,0.001
3.D.2 Indirect N2O Emissions from Applied Nitrogen,N2O,43.4,0.01,0.91,154%,0.009
1.A.3.d CO2 Emissions from Mobile Combustion: Marine,CO2,39.3,0.01,0.92,6%,<0.001
1.A.3.b N2O Emissions from Mobile Combustion: Road,N2O,37.7,<0.01,0.92,19%,0.001
1.A.3.e CO2 Emissions from Mobile Combustion: Other,CO2,36,<0.01,0.93,6%,<0.001
1.A.3.c CO2 Emissions from Mobile Combustion: Railways,CO2,35.5,<0.01,0.93,6%,<0.001
2.A.1 CO2 Emissions from Cement Production,CO2,33.5,<0.01,0.93,6%,<0.001
1.B.2.b CO2 Emissions from Natural Gas Systems,CO2,32,<0.01,0.94,19%,0.001
4.B.1 Net CO2 Emissions from Cropland Remaining Cropland,CO2,23.2,<0.01,0.94,601%,0.018
2.G.1 SF6 Emissions from Electrical Transmission and Distribution,SF6,23.2,<0.01,0.94,18%,0.001
2.B.8 CO2 Emissions from Petrochemical Production,CO2,21.6,<0.01,0.95,6%,<0.001
2.C.3 PFC Emissions from Aluminum Production,PFCs,21.5,<0.01,0.95,7%,<0.001
1.A.5 CO2 Emissions from Stationary Combustion - Oil - U.S. Territories,CO2,21.2,<0.01,0.95,11%,<0.001
5.D CH4 Emissions from Wastewater Treatment,CH4,20.2,<0.01,0.96,38%,0.001
1.A.1 N2O Emissions from Stationary Combustion - Coal - Electricity Generation,N2O,20.1,<0.01,0.96,48%,0.001
3.B.4 CH4 Emissions from Manure Management: Other Livestock,CH4,19.3,<0.01,0.96,20%,0.001
5.D N2O Emissions from Wastewater Treatment,N2O,18.7,<0.01,0.96,209%,0.005
3.B.1 CH4 Emissions from Manure Management: Cattle,CH4,17.9,<0.01,0.97,20%,<0.001
3.C CH4 Emissions from Rice Cultivation,CH4,16,<0.01,0.97,149%,0.003
2.B.3 N2O Emissions from Adipic Acid Production,N2O,15.2,<0.01,0.97,5%,<0.001
1.A.5.b CO2 Emissions from Mobile Combustion: Military,CO2,13.6,<0.01,0.97,6%,<0.001
2.B.1 CO2 Emissions from Ammonia Production,CO2,13,<0.01,0.97,11%,<0.001
2.B.2 N2O Emissions from Nitric Acid Production,N2O,12.1,<0.01,0.98,5%,<0.001
1.A.4.a CO2 Emissions from Stationary Combustion - Coal - Commercial,CO2,12,<0.01,0.98,15%,<0.001
2.A.2 CO2 Emissions from Lime Production,CO2,11.7,<0.01,0.98,2%,<0.001
3.B.1 N2O Emissions from Manure Management: Cattle,N2O,11.2,<0.01,0.98,24%,<0.001
1.B.2.a CO2 Emissions from Petroleum Systems,CO2,9.7,<0.01,0.98,41%,0.001
4.C.1 Net CO2 Emissions from Grassland Remaining Grassland,CO2,8.3,<0.01,0.98,1066%,0.012
5.C.1 CO2 Emissions from Incineration of Waste,CO2,8.1,<0.01,0.98,27%,<0.001
4.D.1 Net CO2 Emissions from Wetlands Remaining Wetlands,CO2,7.4,<0.01,0.98,64%,0.001
1.B.1 Fugitive Emissions from Abandoned Underground Coal Mines,CH4,7.2,<0.01,0.99,22%,<0.001
2.C.3 CO2 Emissions from Aluminum Production ,CO2,6.8,<0.01,0.99,2%,<0.001
1.B.2 CH4 Emissions from Abandoned Oil and Gas Wells,CH4,6.8,<0.01,0.99,219%,0.002
2.A.4 CO2 Emissions from Other Process Uses of Carbonates,CO2,6.3,<0.01,0.99,15%,<0.001
3.A.4 CH4 Emissions from Enteric Fermentation: Other Livestock,CH4,6.3,<0.01,0.99,18%,<0.001
4.C.2 Net CO2 Emissions from Land Converted to Grassland,CO2,6.2,<0.01,0.99,148%,0.001
1.A.4.b CH4 Emissions from Stationary Combustion - Residential,CH4,5.2,<0.01,0.99,235%,0.002
1.A.3.b CH4 Emissions from Mobile Combustion: Road,CH4,5.2,<0.01,0.99,46%,<0.001
2.C.4 SF6 Emissions from Magnesium Production and Processing,SF6,5.2,<0.01,0.99,13%,<0.001
1.A.3.e N2O Emissions from Mobile Combustion: Other,N2O,4.8,<0.01,0.99,40%,<0.001
3.G CO2 Emissions from Liming,CO2,4.7,<0.01,0.99,111%,0.001
2.G.3 N2O Emissions from Product Uses,N2O,4.2,<0.01,0.99,24%,<0.001
2.B.10 CO2 Emissions from Urea Consumption for Non-Ag Purposes,CO2,3.8,<0.01,0.99,14%,<0.001
4.D.1 CH4 Emissions from Coastal Wetlands Remaining Coastal Wetlands,CH4,3.7,<0.01,0.99,30%,<0.001
"2.E PFC, HFC, SF6, and NF3 Emissions from Electronics Industry",HiGWPs,3.6,<0.01,0.99,6%,<0.001
1.A.2 N2O Emissions from Stationary Combustion - Industrial,N2O,3.1,<0.01,1,201%,0.001
1.A.4.b CO2 Emissions from Stationary Combustion - Coal - Residential,CO2,3,<0.01,1,NE,<0.001
3.B.4 N2O Emissions from Manure Management: Other Livestock,N2O,2.8,<0.01,1,24%,<0.001
3.H CO2 Emissions from Urea Fertilization,CO2,2.4,<0.01,1,43%,<0.001
2.C.2 CO2 Emissions from Ferroalloy Production,CO2,2.2,<0.01,1,12%,<0.001
4.E.1 N2O Emissions from Settlement Soils,N2O,2,<0.01,1,56%,<0.001
1.A.2 CH4 Emissions from Stationary Combustion - Industrial,CH4,1.8,<0.01,1,48%,<0.001
1.A.3.a N2O Emissions from Mobile Combustion: Aviation,N2O,1.7,<0.01,1,66%,<0.001
"2.B.4 N2O Emissions from Caprolactam, Glyoxal, and Glyoxylic Acid Production",N2O,1.7,<0.01,1,32%,<0.001
2.A.3 CO2 Emissions from Glass Production,CO2,1.5,<0.01,1,4%,<0.001
2.B.10 CO2 Emissions from Phosphoric Acid Production,CO2,1.5,<0.01,1,21%,<0.001
2.B.10 CO2 Emissions from Carbon Dioxide Consumption,CO2,1.5,<0.01,1,5%,<0.001
2.B.7 CO2 Emissions from Soda Ash Production,CO2,1.4,<0.01,1,9%,<0.001
