Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Carbon Dioxide Consumption,"1,472","1,469","1,463","1,470","1,476","1,477","1,486","1,484","1,481","1,479","1,478",894,"1,047","1,365","1,259","1,375","1,758","1,922","1,834","1,795","4,425","4,083","4,019","4,188","4,471","4,940","4,640","4,580","4,130","4,870"
,Liming,"4,667","5,009","4,415","3,785","4,141","4,392","4,368","4,280","4,721","4,458","4,328","4,411","4,976","4,575","3,902","4,349","4,220","4,464","5,025","3,669","4,784","3,873","5,978","3,907","3,609","3,737","3,081","3,080","2,248","2,442"
,Aluminum Production,"6,831","6,945","6,804","6,211","5,539","5,659","5,987","6,019","6,191","6,286","6,086","4,382","4,491","4,502","4,231","4,142","3,801","4,251","4,477","3,009","2,722","3,292","3,439","3,255","2,833","2,767","1,334","1,205","1,451","1,880"
,Soda Ash Production,"1,431","1,431","1,451","1,412","1,422","1,607","1,587","1,665","1,607","1,548","1,529","1,500","1,470","1,509","1,607","1,655","1,626","1,675","1,733","1,470","1,548","1,607","1,665","1,694","1,685","1,714","1,723","1,753","1,714","1,792"
,Ferroalloy Production,"2,152","1,929","1,957","1,904","2,021","2,036","2,133","2,226","2,218","2,185","1,893","1,459","1,349","1,305","1,419","1,392","1,505","1,552","1,599","1,469","1,663","1,735","1,903","1,785","1,914","1,960","1,796","1,975","2,063","1,598"
,Titanium Dioxide Production,"1,195","1,211","1,392","1,416","1,526","1,526","1,514","1,677","1,662","1,693","1,752","1,697","1,824","1,839","2,064","1,755","1,836","1,930","1,809","1,648","1,769","1,729","1,528","1,715","1,688","1,635","1,662","1,688","1,541","1,474"
,Glass Production,"1,535","1,439","1,540","1,626","1,735","1,823","1,677","1,618","1,543","1,357","1,686","1,386","1,741","1,623","1,642","1,928","2,050","1,536","1,523","1,045","1,481","1,299","1,248","1,317","1,336","1,299","1,249","1,296","1,305","1,280"
,Zinc Production,632,809,843,931,918,865,925,971,885,865,944,713,746,"1,096","1,030","1,030","1,030","1,025","1,159",943,"1,182","1,286","1,486","1,381",909,886,838,900,999,"1,026"
,Phosphoric Acid Production,"1,529","1,398","1,509","1,304","1,519","1,513","1,551","1,544","1,593","1,539","1,382","1,264","1,338","1,382","1,395","1,342","1,160","1,203","1,132",977,"1,087","1,171","1,118","1,149","1,037",999,998,"1,028",940,891
,Lead Production,516,485,488,486,507,553,563,585,588,587,594,563,561,574,546,553,560,562,547,525,542,538,527,546,459,473,500,513,513,540
,Carbide Production and Consumption,370,283,309,292,320,322,325,339,364,294,242,194,178,197,218,213,201,190,171,142,177,167,154,165,169,176,170,181,184,175
,Abandoned Oil and Gas Wells,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,Magnesium Production and Processing,1,1,1,1,1,1,2,2,2,2,2,3,3,3,2,3,3,3,2,1,1,3,2,2,2,3,3,3,1,1
,"Wood Biomass, Ethanol, and Biodiesel Consumption a","219,413","220,165","230,609","225,797","232,298","236,907","241,332","235,579","218,236","221,493","227,435","203,427","204,703","209,935","225,419","230,700","236,298","244,574","257,532","253,936","290,647","296,152","289,598","315,545","323,187","317,742","316,610","312,304","319,647","316,191"
,International Bunker Fuels b,"103,463","117,569","107,863","97,829","96,689","98,492","99,750","106,961","110,491","102,733","101,795","93,782","94,500","98,386","108,507","113,232","114,186","115,378","114,378","106,435","117,025","111,680","105,822","99,779","103,418","110,908","116,611","120,121","122,112","116,064"
,CH4 c,"31,075","31,271","31,221","30,828","31,081","30,708","30,432","29,870","29,267","28,534","28,303","27,993","27,713","27,709","27,480","27,445","27,632","27,756","28,034","27,587","27,686","26,647","26,326","26,176","26,041","26,061","25,696","25,935","26,237","26,389"
,Enteric Fermentation,"6,588","6,597","6,788","6,884","7,008","7,165","7,117","6,982","6,908","6,914","6,840","6,800","6,811","6,818","6,691","6,772","6,881","6,998","6,972","6,937","6,870","6,773","6,686","6,635","6,583","6,675","6,890","7,032","7,119","7,142"
,Natural Gas Systems,"7,478","7,610","7,534","7,638","7,672","7,315","7,229","7,242","7,013","6,769","6,762","6,813","6,689","6,642","6,630","6,567","6,708","6,610","6,676","6,336","6,131","6,055","5,944","6,063","5,936","5,994","5,894","5,949","6,101","6,305"
,Landfills,"7,063","7,155","7,143","7,064","7,053","6,868","6,733","6,358","5,979","5,715","5,587","5,415","5,364","5,459","5,365","5,255","5,171","5,087","5,004","4,921","4,964","4,616","4,664","4,520","4,504","4,456","4,321","4,375","4,482","4,580"
,Manure Management,"1,485","1,555","1,500","1,569","1,678","1,731","1,696","1,772","1,913","1,914","1,920","1,983","2,012","2,024","1,956","2,062","2,063","2,240","2,166","2,124","2,197","2,207","2,279","2,187","2,172","2,316","2,385","2,395","2,467","2,495"
,Coal Mining,"3,860","3,730","3,628","3,091","3,104","3,056","3,038","3,017","3,029","2,848","2,730","2,720","2,552","2,559","2,611","2,565","2,622","2,591","3,026","3,194","3,286","2,846","2,649","2,585","2,583","2,449","2,154","2,191","2,109","1,895"
,Petroleum Systems,"1,955","1,950","1,896","1,819","1,790","1,769","1,782","1,792","1,712","1,638","1,649","1,657","1,618","1,656","1,654","1,579","1,703","1,697","1,733","1,557","1,590","1,663","1,664","1,764","1,774","1,659","1,568","1,574","1,492","1,563"
,Wastewater Treatment,806,819,834,835,843,834,826,830,831,835,832,822,822,815,807,803,799,796,793,776,768,770,768,755,748,753,747,739,737,736
,Rice Cultivation,640,645,646,684,629,660,670,615,683,707,759,617,708,589,624,720,590,637,563,649,757,612,606,551,616,648,631,596,623,602
,Stationary Combustion,344,351,362,339,331,331,344,311,285,291,308,289,292,302,310,313,294,310,318,318,338,331,302,348,354,339,315,306,342,346
,Abandoned Oil and Gas Wells,271,273,275,277,278,280,281,281,282,283,284,286,287,287,287,287,287,288,288,289,290,290,291,292,293,294,296,288,290,263
,Abandoned Underground Coal Mines,288,294,317,328,387,392,403,360,329,332,350,319,293,286,276,264,261,254,253,254,263,257,249,249,253,256,268,257,247,237
,Mobile Combustion,256,250,252,248,246,243,239,232,223,201,193,185,176,169,166,158,156,147,139,134,133,130,121,117,109,105,102,100,98,95
,Composting,15,17,20,25,31,35,40,44,48,53,60,60,61,69,74,75,75,79,80,75,73,75,77,81,84,85,91,98,90,91
,Field Burning of Agricultural Residues,15,14,15,15,15,12,17,16,15,15,14,15,17,20,17,17,15,16,17,16,18,14,16,17,18,18,17,17,17,17
,Petrochemical Production,9,9,9,11,12,12,13,14,14,13,12,8,8,8,7,3,2,2,2,2,2,2,3,3,5,7,10,10,12,13
,Anaerobic Digestion at Biogas Facilities,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,5,5,7,8,7,7,7,7,7
,Ferroalloy Production,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1,+,1,1,1,1,1,+ 
,Carbide Production and Consumption,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Iron and Steel Production & Metallurgical Coke Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ 
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ 
,International Bunker Fuels b,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3,4,4,4,4,4
,N2O c,"1,519","1,487","1,487","1,582","1,534","1,573","1,613","1,567","1,569","1,535","1,492","1,545","1,540","1,543","1,577","1,530","1,518","1,556","1,500","1,495","1,527","1,495","1,399","1,557","1,591","1,571","1,513","1,498","1,541","1,534"
,Agricultural Soil Management,"1,060","1,022","1,015","1,094","1,031","1,051","1,081","1,050","1,063","1,036",988,"1,063","1,055","1,059","1,102","1,052","1,036","1,072","1,061","1,076","1,089","1,047",981,"1,141","1,173","1,169","1,108","1,099","1,135","1,156"
,Wastewater Treatment,63,64,66,67,68,69,70,70,72,74,75,74,76,76,77,77,79,79,78,78,79,80,83,83,84,85,87,89,88,88
,Stationary Combustion,84,84,85,87,89,90,92,94,95,95,100,99,103,107,111,115,114,116,114,106,115,110,102,110,111,102,101,95,95,84
,Manure Management,47,48,48,47,50,51,51,51,52,54,55,54,56,56,54,55,57,58,57,57,57,58,58,58,58,59,61,63,65,66
,Mobile Combustion,150,157,166,173,180,185,189,193,194,186,182,175,168,161,154,139,137,122,113,107,104,100,92,86,79,73,70,67,63,60
,Nitric Acid Production,41,41,42,42,45,45,47,48,48,46,45,36,39,37,37,38,37,44,38,32,39,37,35,36,37,39,34,31,32,34
,Adipic Acid Production,51,50,44,47,45,57,56,32,17,16,18,15,17,18,12,24,29,34,8,9,14,34,19,13,18,14,23,25,35,18
,N2O from Product Uses,14,14,13,15,15,15,15,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,Composting,1,1,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,5,6,6,6,6,6,7,7,7,7
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",6,5,6,6,6,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,8,8,7,7,7,6,6,5,5,5
,Incineration of Waste,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Electronics Industry,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1,1,1,+,+,1,1,1,1,1,1,1,1,1
,Field Burning of Agricultural Residues,1,1,1,1,1,+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Petroleum Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Natural Gas Systems,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuels b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,HFCs,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Substitution of Ozone Depleting Substances d,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,HCFC-22 Production,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,+,1,1,+,+,+,+ ,+ ,+ ,+ ,+ 
,Electronics Industry,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Magnesium Production and Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ 
,PFCs,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Electronics Industry,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Aluminum Production,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,Substitution of Ozone Depleting Substances d,+ ,0,0,0,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ 
,SF6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+,+,+,+,+,+,+,+,+,+,+ ,+ ,+ ,+ 
,Electrical Transmission and Distribution,1,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Magnesium Production and Processing,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Electronics Industry,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
