Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Vehicle,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Commercial Aircraft a,110.9,104.3,106.5,109.8,114.6,116.3,119.7,124,120.8,131.6,140.6,125.8,122.4,124,126,134,138.3,141,128.4,120.6,114.4,115.7,114.3,115.4,116.3,120.1,121.5,129.2,130.8,135.4
,CO2,109.9,103.3,105.5,108.7,113.5,115.2,118.6,122.9,119.7,130.3,139.3,124.6,121.3,122.9,124.8,132.7,137,139.7,127.3,119.5,113.3,114.6,113.3,114.3,115.2,119,120.4,128,129.6,134.2
,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,N2O,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.2,1.1,1.1,1.2,1.2,1.3,1.3,1.2,1.1,1,1.1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
,Other Aircraft b,78.3,69.1,64.6,62.8,65.3,60.3,69.2,65,71.8,65.5,58.8,68.2,67,59,64.6,59.7,48.1,42.4,48.2,36.8,40.4,34.2,32.1,34.7,35,40.4,47.5,45.6,44.7,45.7
,CO2,77.5,68.4,64,62.1,64.6,59.7,68.6,64.3,71.1,64.8,58.2,67.5,66.3,58.5,64,59.1,47.6,42,47.8,36.4,40.1,33.9,31.8,34.4,34.7,40,47,45.2,44.3,45.2
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,0.1,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,N2O,0.7,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
,Ships and Boats c,47,41.7,57.1,53.8,55.4,58.8,55.9,42.4,35.8,44.8,65.8,42.9,47.7,37.8,40.4,45.4,48.5,55.2,45.6,39.1,44.9,46.4,40.3,39.7,29.1,33.8,40.8,43.9,41.2,40.4
,CO2,46.3,41.1,56.4,53.1,54.6,58,55,41.6,35.1,43.9,64.7,42,46.6,36.8,39.3,44.3,47.3,53.8,44.2,37.5,43.1,44.3,38,37,26.2,30.6,37.2,40,37,35.9
,CH4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4
,N2O,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2
,HFCs,0,0,0,+,+,+,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1.2,1.5,1.7,2,2.3,2.6,2.9,3.3,3.6,3.9
,Rail,39,36.8,37.8,38.8,41.7,43.1,43.9,44.1,44.5,46.1,46.6,46.9,46.4,48.2,50.9,51.5,53.4,52.5,48.7,41.1,44,45.2,43.9,44.5,46.4,44.1,40.3,41.5,43.3,40.8
,CO2,38.5,36.4,37.3,38.4,41.2,42.7,43.4,43.6,43.9,45.5,46,46.3,45.8,47.5,50.2,50.8,52.7,51.8,48.1,40.5,43.4,44.5,43.3,43.8,45.7,43.5,39.7,40.9,42.7,40.2
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.3
,HFCs,0,0,0,0,0,0,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Other Emissions from Electric Power d,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,+,+,+,+,+,+,0.1,+,+,+,+,+,+,0.1,+,+,0.1,0.1,0.1
,Pipelines e,36,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.6,36.7,32.8,31.3,32.4,32.4,34.4,35.9,37.1,37.3,38.1,40.6,46.2,39.4,38.5,39.2,41.3,49.9,53.7
,CO2,36,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.6,36.7,32.8,31.3,32.4,32.4,34.4,35.9,37.1,37.3,38.1,40.6,46.2,39.4,38.5,39.2,41.3,49.9,53.7
,Total Transportation ,"1,517.90","1,473.00","1,532.30","1,569.20","1,623.70","1,659.00","1,715.60","1,741.60","1,783.50","1,854.50","1,905.10","1,878.20","1,918.70","1,927.70","1,960.40","1,970.20","1,970.60","1,969.30","1,866.10","1,792.20","1,796.40","1,763.50","1,744.40","1,746.60","1,780.40","1,787.50","1,823.90","1,842.20","1,873.80","1,871.70"
,International Bunker Fuels f,54.8,61.3,51.4,41.1,40.3,40.3,41.3,44.2,45.7,37.8,34.3,32.9,34.6,36.4,42.6,44.7,46.1,46.8,50.3,46.5,47.7,40,35.5,29.5,28.7,31.6,35,34.6,32.5,26.4
,Ethanol CO2 g,4.1,4.7,5.4,6.3,7,7.5,5.4,6.8,7.6,8,9,9.5,11.2,15.3,19.1,21.6,28.7,36.1,51.1,58.5,68.7,69.5,69.6,70.5,74,74.2,76.9,77.7,78.6,78.7
,Biodiesel CO2 g,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.3,0.9,2.5,3.3,2.9,3,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7,17.9,17.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes: Passenger cars and light-duty trucks include vehicles typically used for personal travel and less than 8,500 lbs; medium- and heavy-duty trucks include vehicles larger than 8,500 lbs. HFC emissions primarily reflect HFC-134a. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Consists of emissions from jet fuel consumed by domestic operations of commercial aircraft (no bunkers).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Consists of emissions from jet fuel and aviation gasoline consumption by general aviation and military aircraft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Fluctuations in emission estimates are associated with fluctuations in reported fuel consumption and may reflect issues with data sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"d Other emissions from electric power are a result of waste incineration (as the majority of municipal solid waste is combusted in “trash-to-steam” electric power plants), electrical transmission and distribution, and a portion of Other Process Uses of Carbonates (from pollution control equipment installed in electric power plants).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"e CO2 estimates reflect natural gas used to power pipelines, but not electricity. While the operation of pipelines produces CH4 and N2O, these emissions are not directly attributed to pipelines in the Inventory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f Emissions from International Bunker Fuels include emissions from both civilian and military activities; these emissions are not included in the transportation totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"g Ethanol and biodiesel CO2 estimates are presented for informational purposes only. See Section 3.11 and the estimates in Land Use, Land-Use Change, and Forestry (see Chapter 6), in line with IPCC methodological guidance and UNFCCC reporting obligations, for more information on ethanol and biodiesel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
