Table 3-115:  Ethanol Consumption by Sector (Trillion Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Transportation,59.3,68.1,78.6,91.7,102.9,109.4,78.8,99.90,110.5,116.30,132,138.10,163.7,222.90,278.8,315.80,419.6,527.2,745.7,854.6,"1,003.60","1,015.00","1,016.80","1,030.20","1,081.10","1,083.70","1,123.40","1,134.60","1,148.20","1,150.20"
,Industrial,1.5,2.4,1.9,2.8,3.2,4.3,2.7,3.1,3.5,2.4,3.5,5,6.5,8.8,12.9,17.2,29.2,34.5,45.6,45.2,48.1,42.3,40.8,53.5,24.1,28.2,26.1,27.3,20.5,23.8
,Commercial,0.9,1.1,0.8,0.5,0.4,0.4,0.4,0.6,0.7,0.5,1,0.6,0.9,1.6,1.6,2.2,3.8,6.9,8.3,9.9,9.6,7.3,6.2,8.1,6.2,41.1,37.4,37.2,27.9,32.3
,Total,61.7,71.5,81.3,95,106.4,114.2,81.9,103.70,114.6,119.10,136.5,143.70,171.2,233.40,293.3,335.10,452.6,568.6,799.6,909.7,"1,061.20","1,064.60","1,063.80","1,091.80","1,111.30","1,153.10","1,186.90","1,199.10","1,196.60","1,206.30"
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
