Table 3-30:  CH4 Emissions from Coal Mining (MMT CO2 Eq.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Underground (UG) Mining,74.2,72.2,69.7,57.6,56.5,55.6,54.5,53.3,53.2,49.5,46.9,45.6,42.3,42.8,43.3,42,42.9,42.5,52.8,59.2,61.4,50.2,47.1,46.2,46.1,44.9,40.7,40.7,38.9,34.5
,Liberated,80.8,79.2,77.9,68.4,69.4,70.3,72.6,67.1,70.1,64.5,64.7,65.2,63.1,61.1,62.4,59.7,64.7,60.6,72,78.8,85.1,71.4,65.8,64.5,63.1,61.2,57.1,58.1,57.7,50.1
,Recovered & Used,-6.6,-7,-8.2,-10.8,-12.9,-14.7,-18.2,-13.8,-16.9,-15,-17.7,-19.7,-20.9,-18.3,-19.1,-17.7,-21.9,-18.1,-19.2,-19.6,-23.7,-21.2,-18.7,-18.3,-17,-16.4,-16.4,-17.4,-18.8,-15.7
,Surface Mining,10.8,10.2,10.1,10,10.5,10.3,10.6,10.9,11.3,11.1,11,11.8,11.4,11.1,11.5,11.9,12.5,12.4,12.8,11.5,11.5,11.6,10.3,9.7,9.6,8.7,6.8,7.2,7,6.4
,Post-Mining (UG),9.2,8.7,8.7,7.5,8.3,8.2,8.6,8.9,8.8,8.2,8,8.1,7.6,7.7,7.9,7.6,7.5,7.2,7.3,6.7,6.8,6.9,6.7,6.6,6.7,5.8,4.8,5.3,5.3,5.2
,Post-Mining (Surface),2.3,2.2,2.2,2.2,2.3,2.2,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.4,2.5,2.6,2.7,2.7,2.8,2.5,2.5,2.5,2.2,2.1,2.1,1.9,1.5,1.6,1.5,1.4
,Total,96.5,93.3,90.7,77.3,77.6,76.4,76,75.4,75.7,71.2,68.3,68,63.8,64,65.3,64.1,65.6,64.8,75.6,79.9,82.2,71.1,66.2,64.6,64.6,61.2,53.8,54.8,52.7,47.4
