Table 3-92: Commercial and Industrial Meter National Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Commercial Meters,"99,129","101,960","103,187","104,479","106,093","108,494","110,453","111,417","118,041","117,238","117,253","116,917","118,507","120,561","120,275","121,634","123,397","124,226","127,397","124,543","124,057","124,484","125,340","125,717","126,677","127,615","128,108","128,698","129,130","129,796"
,Industrial Meters,"22,926","22,736","22,010","22,015","21,309","21,987","21,635","24,660","23,750","23,975","23,126","22,788","21,621","21,579","21,951","21,653","20,352","20,820","23,630","21,801","20,237","19,877","19,884","20,190","20,175","19,775","19,828","19,419","19,426","19,239"
,Total,"122,055","124,695","125,197","126,494","127,402","130,481","132,088","136,077","141,791","141,213","140,380","139,705","140,128","142,140","142,226","143,287","143,749","145,046","151,027","146,343","144,294","144,360","145,224","145,907","146,852","147,390","147,936","148,118","148,555","149,036"
,Previous Estimate,"43,362","44,522","44,965","45,503","46,109","47,170","47,953","48,634","51,305","50,992","50,920","50,748","51,302","52,152","52,068","52,605","53,218","53,606","55,186","53,829","53,482","53,626","53,983","54,168","54,566","54,919","55,129","55,324","56,140",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
