Table 3-56:  Oil Wellhead National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Oil Wellheads (heavy crude), 32 , 32 , 31 , 30 , 29 , 28 , 29 , 29 , 29 , 28 , 28 , 28 , 28 , 27 , 28 , 28 , 29 , 28 , 30 , 30 , 31 , 32 , 33 , 34 , 36 , 35 , 34 , 34 , 33 , 33 
,Oil Wellheads (light crude)," 55,064 "," 55,198 "," 53,522 "," 51,359 "," 49,609 "," 49,145 "," 50,116 "," 50,630 "," 49,331 "," 47,619 "," 48,003 "," 48,144 "," 47,785 "," 47,443 "," 48,032 "," 48,648 "," 49,254 "," 49,118 "," 51,890 "," 51,704 "," 53,026 "," 54,822 "," 57,077 "," 59,165 "," 61,748 "," 61,163 "," 59,088 "," 58,115 "," 57,326 "," 56,699 "
,Total Emissions," 55,096 "," 55,230 "," 53,553 "," 51,389 "," 49,638 "," 49,173 "," 50,145 "," 50,659 "," 49,360 "," 47,647 "," 48,031 "," 48,172 "," 47,813 "," 47,470 "," 48,060 "," 48,676 "," 49,283 "," 49,146 "," 51,920 "," 51,734 "," 53,057 "," 54,854 "," 57,110 "," 59,199 "," 61,784 "," 61,199 "," 59,122 "," 58,149 "," 57,359 "," 56,732 "
,Previous Estimate," 61,144 "," 61,254 "," 59,525 "," 58,692 "," 56,788 "," 55,576 "," 55,262 "," 55,337 "," 53,544 "," 51,466 "," 51,921 "," 51,981 "," 51,443 "," 51,242 "," 51,757 "," 52,504 "," 53,486 "," 53,389 "," 56,344 "," 55,958 "," 57,266 "," 59,199 "," 61,606 "," 63,790 "," 66,337 "," 65,294 "," 63,162 "," 62,011 "," 61,343 ", NA 
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
