"Table 3-37: Total Greenhouse Gas Emissions (CO2, CH4, and N2O) from Petroleum Systems (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Exploration,3.3,3.3,3.3,3.3,2.8,2.6,2.9,3.8,2.6,1.7,2.7,3.4,2.7,3.6,4,4.9,6.1,6.3,7.7,4.4,6.3,8.6,9.9,9.2,8.2,4.2,1.7,2.1,3.3,2.4
,Production ,51.2,51.4,49.9,48.1,48,48.1,48.5,48.1,47.1,45.6,45,44.6,44.4,44.6,44.4,42,44.1,44,44.5,43.8,44.2,46.1,49.3,56.3,62.2,64.6,54.4,57.5,66.4,77.9
,Transportation,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Crude Refining,4,3.9,4,4,4.1,4.1,4.2,4.3,4.4,4.4,4.5,4.5,4.4,4.5,4.6,4.5,4.5,4.5,4.4,4.2,4.5,4.6,4.2,4.4,4.2,4.9,4.8,4.6,4.5,5.9
,Total  ,58.6,58.8,57.4,55.5,55,55,55.7,56.4,54.3,51.9,52.3,52.6,51.7,52.9,53.1,51.5,54.8,54.9,56.7,52.5,55.2,59.5,63.5,70.1,74.8,73.9,61.1,64.4,74.5,86.4
,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
