Table 3-31:  CH4 Emissions from Coal Mining (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Underground (UG) Mining,,"2,968","2,888","2,789","2,304","2,260","2,226","2,180","2,133","2,127","1,980","1,878","1,823","1,690","1,712","1,733","1,682","1,714","1,700","2,113","2,367","2,456","2,008","1,882","1,849","1,844","1,796","1,629","1,626","1,556","1,379"
,Liberated,,"3,231","3,166","3,116","2,734","2,774","2,814","2,906","2,683","2,804","2,580","2,586","2,610","2,525","2,443","2,497","2,388","2,589","2,423","2,879","3,150","3,405","2,856","2,631","2,580","2,523","2,450","2,283","2,324","2,307","2,005"
,Recovered & Used,,-263,-278,-327,-431,-514,-588,-726,-550,-677,-600,-708,-787,-835,-731,-764,-706,-875,-723,-766,-783,-950,-848,-748,-731,-679,-654,-654,-698,-751,-627
,Surface Mining,,430,407,404,399,420,411,425,434,451,445,439,470,458,444,462,475,501,494,510,461,461,462,410,388,386,347,273,290,280,255
,Post-Mining (UG),,368,348,348,301,332,330,342,356,353,327,318,325,305,306,317,306,298,290,292,267,270,276,268,263,270,231,193,213,212,206
,Post-Mining (Surface),,93,88,87,86,91,89,92,94,98,96,95,102,99,96,100,103,109,107,111,100,100,100,89,84,84,75,59,63,61,55
,Total,,"3,860","3,730","3,628","3,091","3,104","3,056","3,038","3,017","3,029","2,848","2,730","2,720","2,552","2,559","2,611","2,565","2,622","2,591","3,026","3,194","3,286","2,846","2,649","2,585","2,583","2,449","2,154","2,191","2,109","1,895"
