Table 3-74: Non-HF Gas Well Completions National Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Non-HF Completions - Vented,"5,747","6,436","6,286","6,775","7,082","6,907","7,335","7,746","8,019","8,091","8,316","9,094","9,376","9,931","10,350","10,925","11,683","12,232","13,065","13,253","13,519","13,700","11,588","6,675","1,506","14,872","8,602",850,272,832
,Non-HF Completions - Flared,20,22,22,24,25,24,26,27,28,28,29,32,33,35,36,38,41,43,45,46,47,48,3,44,13,40,82,714,481,0
,Total Emissions ,"5,767","6,458","6,308","6,798","7,106","6,931","7,360","7,773","8,046","8,119","8,345","9,125","9,409","9,966","10,386","10,963","11,723","12,274","13,111","13,299","13,566","13,748","11,591","6,719","1,519","14,912","8,684","1,564",753,832
,Previous Estimate ,"5,717","6,382","6,286","6,480","6,699","6,770","7,108","7,277","7,537","7,648","7,837","8,567","8,837","9,315","9,715","10,252","10,923","11,361","12,190","12,412","12,654","12,817","10,786","6,048","1,415","13,667","8,077","1,440","4,285",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
