Table 3-58:  National Oil Well Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Oil Wells,"506,730","507,958","492,537","472,634","456,523","452,262","461,189","465,920","453,965","438,218","441,750","443,047","439,746","436,598","442,012","447,683","453,260","452,009","477,519","475,803","487,974","504,502","525,253","544,471","568,236","562,857","543,759","534,806","527,544","521,771"
,Previous Estimate,"562,356","563,368","547,467","539,800","522,288","511,144","508,252","508,949","492,457","473,338","477,527","478,084","473,126","471,279","476,014","482,887","491,923","491,024","518,202","514,660","526,690","544,463","566,599","586,691","610,121","600,519","580,917","570,331","564,186",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
