Table 3-72: HF Gas Well Completions National Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,HF Completions - Non-REC with Venting,"156,988","148,286","108,989","141,590","138,502","127,234","170,381","221,467","189,228","165,810","213,528","265,753","229,801","279,980","315,011","382,619","398,344","389,661","395,094","210,256","196,123","189,829","65,118","89,546","26,530",924,"1,109","2,932","1,085",641
,HF Completions - Non-REC with Flaring,"2,223","2,100","1,543","2,005","1,961","1,802","2,412","3,136","2,679","2,348","3,023","3,925","3,547","4,525","5,343","6,828","7,499","7,762","8,356","4,739","4,732","6,533","3,264","1,533",939,394,75,476,621,335
,HF Completions - REC with Venting,0,0,0,0,0,0,0,0,0,0,0,746,"1,348","2,580","4,063","6,489","8,552","10,328","12,706","8,107","8,994","10,869","10,604","8,725","2,726","14,463","12,569","37,650","28,934","17,827"
,HF Completions - REC with Flaring,0,0,0,0,0,0,0,0,0,0,0,213,385,738,"1,161","1,855","2,445","2,952","3,632","2,317","2,571","3,107","3,859","4,498","2,258","8,760","4,581","5,656","1,344","1,139"
,Total Emissions,"159,211","150,386","110,533","143,595","140,463","129,036","172,794","224,603","191,907","168,158","216,551","270,637","235,082","287,823","325,578","397,791","416,841","410,702","419,788","225,420","212,419","210,338","82,844","104,301","32,453","24,541","18,334","46,713","31,984","19,942"
,Previous Estimate,"153,924","145,587","105,856","138,023","135,339","124,725","168,320","222,245","191,053","167,792","216,226","270,520","234,894","287,679","325,439","397,427","416,683","410,642","419,788","225,420","212,394","223,961","86,271","110,400","34,649","24,566","18,177","47,414","39,036",NA
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
