Table 3-41:  N2O Emissions from Petroleum Systems (Metric Tons CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated from Table 3-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Exploration,162,162,160,154,144,140,146,161,140,124,139,150,139,151,158,173,192,195,303,269,442,745,"1,092","1,330","1,585","1,118",617,744,"1,370",860
,Production ,"7,502","7,961","7,701","7,553","8,161","9,438","9,869","9,888","9,323","8,131","7,587","7,468","7,954","7,880","7,966","8,050","7,754","7,762","8,838","8,835","9,986","11,043","13,449","15,466","18,444","20,300","15,087","15,812","29,636","31,269"
,Transportation,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
,Crude Refining,"9,138","9,065","9,165","9,277","9,450","9,523","9,700","9,992","10,147","10,089","10,296","10,309","10,186","10,429","10,575","10,372","10,387","10,329","10,010","9,770","10,613","10,842","9,681","10,187","9,659","11,656","11,575","10,796","10,557","14,749"
,Total ,"16,802","17,188","17,025","16,984","17,754","19,101","19,715","20,041","19,610","18,344","18,022","17,927","18,279","18,461","18,699","18,596","18,334","18,286","19,151","18,874","21,041","22,631","24,223","26,983","29,688","33,074","27,279","27,352","41,562","46,878"
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NE (Not Estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
