Table 3-73:  HF Gas Well Completions National Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,HF Completions - Non-REC with Venting,11,10,7.3,9.5,9.3,8.6,11.5,14.9,12.7,11.2,14.4,17.9,15.5,18.8,21.2,26,26.8,26.2,26.6,14.2,13.2,12.8,2.9,10.2,2.2,0.2,+,0.4,+,+
,HF Completions - Non-REC with Flaring,402,380,279.3,362.8,354.9,326,436.6,567.5,484.9,424.9,547.2,710.3,641.9,818.9,967,"1,236","1,357.20","1,404.70","1,512.20",857.7,856.3,"1,182.30",595.9,305.8,306.8,49,12,37,54,32
,HF Completions - REC with Venting,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,1.1,1.7,3,3.5,4.2,5.2,3.3,3.7,4.4,0.8,1.6,0.1,1,0,1,3,0
,HF Completions - REC with Flaring,0,0,0,0,0,0,0,0,0,0,0,42.6,76.9,147.2,231.8,370,487.9,589.2,724.8,462.5,513.1,620.1,664.4,877.9,468.2,218,167,398,233,198
,Total Emissions,413,390,287,372,364,335,448,582,498,436,562,771,735,986,"1,222","1,634","1,875","2,024","2,269","1,338","1,386","1,820","1,264","1,195",777,268,179,436,290,230
,Previous Estimate,399,378,274,358,351,323,436,576,495,435,561,771,734,986,"1,221","1,633","1,875","2,024","2,269","1,338","1,386","1,937","1,316","1,265",832,268,177,449,392,NA
,+ Does not exceed 0.05 kt CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
