Table 7-12:  U.S. Population (Millions) and Domestic Wastewater BOD5 Produced (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Population,253.5,256.9,260.4,263.9,267.1,270.3,273.5,276.8,280.0,283.2,286.4,289.2,291.8,294.3,297.0,299.7,302.6,305.4,308.2,310.9,313.4,315.6,317.9,320.0,322.3,324.6,326.9,328.9,330.8,333.9
TOW,"8,131.0","8,249.8","8,378.0","8,502.5","8,619.5","8,735.1","8,821.9","8,912.5","9,037.0","9,161.3","9,277.7","9,383.9","9,478.8","9,568.1","9,596.3","9,624.4","9,639.2","9,652.3","9,664.3","9,669.3","9,688.1","9,696.7","9,684.2","9,667.3","9,651.8","9,736.1","9,819.7","9,896.0","9,970.9","10,078.7"
Sources: U.S. Census Bureau (2020); ERG (2018a).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
