Table 7-44:  Tier 1 Quantitative Uncertainty Estimates for Emissions from Composting (MMT CO2 Eq. and Percent),,,,,,,,
,,,,,,,,
,Source,Gas,2019 Emission Estimate,,Uncertainty Range Relative to Emission Estimate,,,
,,,(MMT CO2 Eq.),,(MMT CO2 Eq.),,(%),
,,,,,Lower,Upper,Lower,Upper
,,,,,Bound,Bound,Bound,Bound
,Composting,CH4,2.3,,1.1,3.4,-50%,50%
,,N2O,2,,1,3,-50%,50%
,,Total,4.3,,2.1,6.4,-50%,50%
