"Table 4-12:  Limestone, Dolomite, and Soda Ash Consumption Used in Glass Production (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Limestone,430,386,497,622,949,958,671,727,148,0,843,255,969,765,791,920,1629,757,879,139,999,614,555,693,765,699,472,720,818,817
,Dolomite,59,53,90,138,23,216,253,0,297,0,0,0,0,0,0,541,160,0,0,0,0,0,0,0,0,0,0,0,0,0
,Soda Ash,3177,2997,3082,3100,3150,3130,3040,3130,3220,3270,3170,3070,3170,3100,3120,3050,3030,2900,2740,2370,2510,2480,2420,2440,2410,2390,2510,2360,2280,2220
,Total,3666,3436,3669,3860,4122,4304,3964,3857,3666,3270,4013,3325,4139,3865,3911,4511,4819,3657,3619,2509,3509,3094,2975,3133,3175,3089,2982,3080,3098,3037
