Table 4-61:  CO2 Emissions from Metallurgical Coke Production (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,"5,608","5,074","4,007","2,953","5,167","5,222","4,357","3,781","4,777","4,737","4,541","2,978","4,161","4,381",3808,"3,921","3,761","3,876","4,104","2,184","3,775","3,144","2,206","3,544",3720,"4,417","2,643","1,978","1,282","1,366"
,Total,"5,608","5,074","4,007","2,953","5,167","5,222","4,357","3,781","4,777","4,737","4,541","2,978","4,161","4,381",3808,"3,921","3,761","3,876","4,104","2,184","3,775","3,144","2,206","3,544",3720,"4,417","2,643","1,978","1,282","1,366"
