Table 4-60:  CO2 Emissions from Metallurgical Coke Production (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,5.6,5.1,4.0,3.0,5.2,5.2,4.4,3.8,4.8,4.7,4.5,3.0,4.2,4.4,3.8,3.9,3.8,3.9,4.1,2.2,3.8,3.1,2.2,3.5,3.7,4.4,2.6,2.0,1.3,1.4
,Total,5.6,5.1,4.0,3.0,5.2,5.2,4.4,3.8,4.8,4.7,4.5,3.0,4.2,4.4,3.8,3.9,3.8,3.9,4.1,2.2,3.8,3.1,2.2,3.5,3.7,4.4,2.6,2.0,1.3,1.4
