Table 4-31:  Adipic Acid Production (kt),,
,,
,Year,kt
,1990,755
,1991,751
,1992,705
,1993,698
,1994,738
,1995,800
,1996,840
,1997,885
,1998,850
,1999,890
,2000,890
,2001,795
,2002,860
,2003,880
,2004,885
,2005,865
,2006,885
,2007,850
,2008,765
,2009,650
,2010,720
,2011,840
,2012,950
,2013,980
,2014,1025
,2015,1055
,2016,860
,2017,830
,2018,825
,2019,810
