Table 4-37:  CO2 and CH4 Emissions from Silicon Carbide Production and Consumption (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,370,283,309,292,320,322,325,339,364,294,242,194,178,197,218,213,201,190,171,142,177,167,154,165,169,176,170,181,184,175
,CH4,1.2,0.9,1.0,0.9,1.0,0.9,0.9,0.8,0.8,0.8,0.5,0.5,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
