Table 4-110:  N2O Emissions from N2O Product Usage (MMT CO2 Eq. and kt),,,
,,,
,Year,MMT CO2 Eq.,kt
,1990,4.2,14
,1991,4.1,14
,1992,3.9,13
,1993,4.4,15
,1994,4.4,15
,1995,4.4,15
,1996,4.4,15
,1997,4.7,16
,1998,4.7,16
,1999,4.7,16
,2000,4.7,16
,2001,4.7,16
,2002,4.2,14
,2003,4.2,14
,2004,4.2,14
,2005,4.2,14
,2006,4.2,14
,2007,4.2,14
,2008,4.2,14
,2009,4.2,14
,2010,4.2,14
,2011,4.2,14
,2012,4.2,14
,2013,4.2,14
,2014,4.2,14
,2015,4.2,14
,2016,4.2,14
,2017,4.2,14
,2018,4.2,14
,2019,4.2,14
