Table 4-67:  Production and Consumption Data for the Calculation of CO2 Emissions from Metallurgical Coke Production (Thousand Metric Tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source/Activity Data,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Metallurgical Coke Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coking Coal Consumption at Coke Plants,"35,269","30,712","29,363","28,416","28,795","29,948","28,763","27,400","25,573","25,499","26,254","23,655","21,461","21,998","21,473","21,259","20,827","20,607","20,022","13,904","19,135","19,445","18,825","19,481","19,321","17,879","14,955","15,910","16,635","16,261"
,Coke Production at Coke Plants ,"25,054","21,815","21,238","21,031","20,581","21,545","20,934","20,064","18,181","18,240","18,877","17,191","15,221","15,579","15,340","15,167","14,882","14,698","14,194","10,109","13,628","13,989","13,764","13,898","13,748","12,479","10,755","11,746","12,525","12,215"
,Coal Breeze Production,"2,645","2,303","2,202","2,131","2,160","2,246","2,157","2,055","1,918","1,912","1,969","1,774","1,610","1,650","1,611","1,594","1,562","1,546","1,502","1,043","1,435","1,458","1,412","1,461","1,449","1,341","1,122","1,193","1,248","1,220"
,Coal Tar Production,"1,058",921,881,852,864,898,863,822,767,765,788,710,644,660,644,638,625,618,601,417,574,583,565,584,580,536,449,477,499,488
