Table 4-97: F-GHG(a) Emissions from PV and MEMS manufacturing (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MEMS,0,0.001,0.002,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.009,0.010,0.011,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.015,0.005,0.007,0.006,0.005,0.006,0.008,0.011
PV,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.004,0.005,0.005,0.006,0.007,0.009,0.022,0.022,0.022,0.022,0.022,0.026,0.033,0.029,0.029,0.029,0.029
"(a) F-GHGs from PV manufacturing include an unspecified mix of HFCs and PFCs, F-GHGs from MEMS manufacturing includes those gases but also NF3 and SF6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
