Table 4-16:  Limestone and Dolomite Consumption (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Flux Stone,"6,737","6,051","5,181","4,263","5,487","8,586","9,468","11,239","11,512","13,415","6,283","5,514","5,299","4,485","8,917","7,022","11,030","5,305","3,253","4,623","4,440","4,396","3,666","6,345","7,599","7,834","7,092","6,853","7,658","7,658"
,Limestone,"5,804","5,213","4,432","3,631","3,149","5,734","7,569","9,024","9,769","9,712","4,151","3,686","3,048","2,058","4,574","3,165","5,208","3,477","1,970","1,631","1,921","2,531","3,108","4,380","4,243","4,590","4,118","4,920","5,603","5,603"
,Dolomite,933,838,748,632,"2,339","2,852","1,899","2,215","1,743","3,703","2,132","1,828","2,250","2,427","4,343","3,857","5,822","1,827","1,282","2,992","2,520","1,865",559,"1,965","3,356","3,244","2,973","1,933","2,055","2,055"
,FGD,"3,258","2,926","3,111","3,348","3,838","3,908","4,519","3,240","2,801","2,819","4,061","5,738","6,329","4,396","4,230","6,761","4,683","7,225","8,639","12,288","16,064","12,326","13,185","14,347","16,171","16,680","14,019","12,732","5,078","5,078"
,Other Miscellaneous Uses,"1,835","1,648","2,150","2,718","1,939","2,654","2,482",901,"1,933","1,622","1,640","1,126","1,494",863,835,"1,632","1,671","5,057","2,531",898,"2,121","5,548","2,610","3,973","4,069","1,982","2,592","1,900","3,108","3,108"
,Total,"11,830","10,626","10,442","10,328","11,264","15,148","16,468","15,380","16,246","17,856","11,984","12,377","13,122","9,744","13,982","15,415","17,385","17,587","14,423","17,809","22,626","22,270","19,461","24,665","27,839","26,496","23,703","21,484","15,845","15,845"
