Table 4-66:  Material Carbon Contents for Metallurgical Coke Production,,
,,
,Material,kg C/kg
,Coal Tar(a),0.62
,Coke(a),0.83
,Coke Breeze(a),0.83
,Coking Coal(b),0.75
,Material,kg C/GJ
,Coke Oven Gas©,12.1
,Blast Furnace Gas©,70.8
,"(a) Source: IPCC (2006), Vol. 3 Chapter 4, Table 4.3",
,(b) Source: EIA (2017c),
,"(c) Source: IPCC (2006), Vol. 2 Chapter 1, Table 1.3",
