Table 4-28:  Nitric Acid Production (kt),,
,,
,Year,kt
,1990,7200
,1991,7190
,1992,7380
,1993,7490
,1994,7910
,1995,8020
,1996,8350
,1997,8560
,1998,8420
,1999,8120
,2000,7900
,2001,6420
,2002,6940
,2003,6520
,2004,6470
,2005,6710
,2006,6570
,2007,7830
,2008,6690
,2009,5920
,2010,7450
,2011,7600
,2012,7460
,2013,7580
,2014,7660
,2015,7210
,2016,7810
,2017,7780
,2018,8210
,2019,8080
