"Table 4-112:  NOx, CO, and NMVOC Emissions from Industrial Processes and Product Use (kt) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dry Cleaning,195,198,203,204,207,209,140,148,151,267,265,272,232,231,231,230,213,197,179,170,161,152,157,161,165,164,163,161,161,161
Graphic Arts,249,273,280,292,302,307,261,266,272,224,222,229,195,195,194,194,180,166,150,143,136,128,132,136,139,138,137,136,136,136
Other Industrial Processes (a),85,89,93,93,90,87,96,100,101,95,98,103,88,88,88,88,81,75,68,65,61,58,60,61,63,62,62,61,61,61
Other  ,+,NA,NA,+,+,+,3,3,3,40,40,42,36,36,36,36,33,31,28,26,25,24,24,25,26,26,25,25,25,25
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.5 kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(a) Includes rubber and plastics manufacturing, and other miscellaneous applications. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(b) Miscellaneous includes the following categories: catastrophic/accidental release, other combustion, health services, cooling towers, and fugitive dust. It does not include agricultural fires or slash/prescribed burning, which are accounted for under the Field Burning of Agricultural Residues source.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Includes cutback asphalt, pesticide application adhesives, consumer solvents, and other miscellaneous applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
