Table 4-34:  Caprolactam Production (kt),,
,,
,Year,kt
,1990,626
,1991,582
,1992,625
,1993,650
,1994,700
,1995,725
,1996,720
,1997,730
,1998,740
,1999,735
,2000,760
,2001,690
,2002,745
,2003,730
,2004,785
,2005,795
,2006,775
,2007,825
,2008,800
,2009,795
,2010,835
,2011,835
,2012,775
,2013,785
,2014,755
,2015,700
,2016,640
,2017,545
,2018,530
,2019,515
