,Sector,Year,Energy Unit,Emissions Unit,CI_Reference,CI_Mitigation,baseline_CI,CI_Reference_perc,CI_Mitigation_perc
36,Commercial,2025,MJ,g,85.1668420160055,70.41233107630454,93.85976851579798,-9.261610844831063,-24.981350167667305
37,Commercial,2026,MJ,g,86.02645292073124,62.691054684638054,93.85976851579798,-8.345764877683749,-33.207746326280116
38,Commercial,2027,MJ,g,84.95451735914922,54.553989500385896,93.85976851579798,-9.487825612045778,-41.87713184994308
39,Commercial,2028,MJ,g,84.55337663808812,46.675741412879965,93.85976851579798,-9.915208640370185,-50.27076866802228
40,Commercial,2029,MJ,g,84.27855548660943,38.96329434094309,93.85976851579798,-10.208008373231698,-58.48775789982372
41,Commercial,2030,MJ,g,83.29471577820838,33.268485650675466,93.85976851579798,-11.256210093690292,-64.55511645005187
42,Commercial,2031,MJ,g,82.61943820422766,32.53129682142839,93.85976851579798,-11.975663790049094,-65.34053158680773
43,Commercial,2032,MJ,g,81.91509232827184,31.60793362645397,93.85976851579798,-12.726087413603281,-66.32430046838024
44,Commercial,2033,MJ,g,81.58224016934035,30.601380441289486,93.85976851579798,-13.080714496319198,-67.39670156320615
45,Commercial,2034,MJ,g,81.26680373583119,29.18020028108824,93.85976851579798,-13.416786530692551,-68.91085420035232
46,Commercial,2035,MJ,g,80.16336234957576,27.807113722622,93.85976851579798,-14.592414175746567,-70.3737669905486
47,Commercial,2036,MJ,g,79.82893767435164,27.256435684278586,93.85976851579798,-14.948716647521614,-70.96046994864373
48,Commercial,2037,MJ,g,79.39113545237217,26.604277479637098,93.85976851579798,-15.41515954302671,-71.6552918248896
49,Commercial,2038,MJ,g,78.81035215025291,26.04013636737858,93.85976851579798,-16.033937227335088,-72.25633860049885
50,Commercial,2039,MJ,g,78.60470575397315,25.7241221734582,93.85976851579798,-16.25303684747228,-72.5930261919105
51,Commercial,2040,MJ,g,78.5744912601998,25.32154910957252,93.85976851579798,-16.285227949422694,-73.02193526578907
52,Commercial,2041,MJ,g,78.22231160335953,24.71452654506651,93.85976851579798,-16.66044691960479,-73.6686687641823
53,Commercial,2042,MJ,g,78.11521578177414,24.36341564769437,93.85976851579798,-16.774548864750077,-74.04274905750098
54,Commercial,2043,MJ,g,77.86874364421173,24.003666364249977,93.85976851579798,-17.03714501372835,-74.42603285324552
55,Commercial,2044,MJ,g,77.59156936520158,23.605391263350953,93.85976851579798,-17.332451813854863,-74.8503627948136
56,Commercial,2045,MJ,g,77.04306262069333,23.10323852414709,93.85976851579798,-17.916841433797217,-75.38536596725308
57,Commercial,2046,MJ,g,76.63850974688174,22.572834282335315,93.85976851579798,-18.34785983519409,-75.9504688331551
58,Commercial,2047,MJ,g,76.3534224450729,22.300578713863587,93.85976851579798,-18.65159732178384,-76.2405351446077
59,Commercial,2048,MJ,g,76.28624547743698,21.748616366305058,93.85976851579798,-18.72316895327003,-76.8286064304064
60,Commercial,2049,MJ,g,76.19202717908689,20.8229551413557,93.85976851579798,-18.82355093784122,-77.81482367724902
61,Commercial,2050,MJ,g,76.00795675664935,20.26100010127883,93.85976851579798,-19.019663101069664,-78.41354136957135
62,Industrial,2020,MJ,g,78.06695144573635,78.33178968311974,78.06695144573635,0.0,0.33924501018523
63,Industrial,2021,MJ,g,77.90853811407935,78.7539862177931,78.06695144573635,-0.2029198383225115,0.8800584105481559
64,Industrial,2022,MJ,g,77.37838990887458,75.38996976567034,78.06695144573635,-0.8820141226347007,-3.429084433925607
65,Industrial,2023,MJ,g,75.83303679094759,73.43100396644984,78.06695144573635,-2.8615369415847325,-5.938425151017867
66,Industrial,2024,MJ,g,74.41581066956802,71.88139474235095,78.06695144573635,-4.676935256920093,-7.923399836722108
67,Industrial,2025,MJ,g,73.56125015207361,70.00950316648554,78.06695144573635,-5.77158606839491,-10.321202672876842
68,Industrial,2026,MJ,g,73.60942840163666,67.8937619434265,78.06695144573635,-5.709872054115079,-13.031365147364756
69,Industrial,2027,MJ,g,73.33680264578072,65.76434023076493,78.06695144573635,-6.059092499908253,-15.759051669287812
